UniProt Acc,Gene Name,Protein Name
O60437,PPL,Periplakin
P06730,EIF4E,Eukaryotic translation initiation factor 4E
P19419,ELK1,ETS domain-containing protein Elk-1
Q14161,GIT2,ARF GTPase-activating protein GIT2
Q15365,PCBP1,Poly(rC)-binding protein 1
P12931,SRC,Proto-oncogene tyrosine-protein kinase Src
O43791,SPOP,Speckle-type POZ protein
P52945,PDX1,Pancreas/duodenum homeobox protein 1
Q15545,TAF7,Transcription initiation factor TFIID subunit 7
Q9BRX5,GINS3,DNA replication complex GINS protein PSF3
Q13115,DUSP4,Dual specificity protein phosphatase 4
Q99570,PIK3R4,Phosphoinositide 3-kinase regulatory subunit 4
P10619,CTSA,Lysosomal protective protein
Q99519,NEU1,Sialidase-1
Q15418,RPS6KA1,Ribosomal protein S6 kinase alpha-1
Q12778,FOXO1,Forkhead box protein O1
P49789,FHIT,Bis(5'-adenosyl)-triphosphatase
Q9P0J0,NDUFA13,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 13
P07900,HSP90AA1,Heat shock protein HSP 90-alpha
Q9BYG5,PARD6B,Partitioning defective 6 homolog beta
Q9UQL6,HDAC5,Histone deacetylase 5
Q13323,BIK,Bcl-2-interacting killer
O14936,CASK,Peripheral plasma membrane protein CASK
P46776,RPL27A,Large ribosomal subunit protein uL15
Q92831,KAT2B,Histone acetyltransferase KAT2B
P62266,RPS23,Small ribosomal subunit protein uS12
Q9Y4A5,TRRAP,Transformation/transcription domain-associated protein
Q16594,TAF9,Transcription initiation factor TFIID subunit 9
Q07020,RPL18,Large ribosomal subunit protein eL18
P39023,RPL3,Large ribosomal subunit protein uL3
O60508,CDC40,Pre-mRNA-processing factor 17
P09661,SNRPA1,U2 small nuclear ribonucleoprotein A'
P22681,CBL,E3 ubiquitin-protein ligase CBL
Q92830,KAT2A,Histone acetyltransferase KAT2A
P15880,RPS2,Small ribosomal subunit protein uS5
P62244,RPS15A,Small ribosomal subunit protein uS8
Q9NVF7,FBXO28,F-box only protein 28
P62249,RPS16,Small ribosomal subunit protein uS9
P21580,TNFAIP3,Tumor necrosis factor alpha-induced protein 3
Q12933,TRAF2,TNF receptor-associated factor 2
P30050,RPL12,Large ribosomal subunit protein uL11
P56945,BCAR1,Breast cancer anti-estrogen resistance protein 1
Q8TAE8,GADD45GIP1,Large ribosomal subunit protein mL64
P62269,RPS18,Small ribosomal subunit protein uS13
Q03135,CAV1,Caveolin-1
P18075,BMP7,Bone morphogenetic protein 7
P27037,ACVR2A,Activin receptor type-2A
P23396,RPS3,Small ribosomal subunit protein uS3
P09619,PDGFRB,Platelet-derived growth factor receptor beta
P46782,RPS5,Small ribosomal subunit protein uS7
P62263,RPS14,Small ribosomal subunit protein uS11
P60866,RPS20,Small ribosomal subunit protein uS10
P62906,RPL10A,Large ribosomal subunit protein uL1
P62805,H4C9,Histone H4
P62280,RPS11,Small ribosomal subunit protein uS17
P55210,CASP7,Caspase-7
Q9HD36,BCL2L10,Bcl-2-like protein 10
P52333,JAK3,Tyrosine-protein kinase JAK3
Q15544,TAF11,Transcription initiation factor TFIID subunit 11
Q9UK32,RPS6KA6,Ribosomal protein S6 kinase alpha-6
P68104,EEF1A1,Elongation factor 1-alpha 1
Q5VVQ6,YOD1,Ubiquitin thioesterase OTU1
Q9UQF2,MAPK8IP1,C-Jun-amino-terminal kinase-interacting protein 1
P04049,RAF1,RAF proto-oncogene serine/threonine-protein kinase
P29350,PTPN6,Tyrosine-protein phosphatase non-receptor type 6
P32121,ARRB2,Beta-arrestin-2
Q9NRM7,LATS2,Serine/threonine-protein kinase LATS2
P13693,TPT1,Translationally-controlled tumor protein
P42768,WAS,Actin nucleation-promoting factor WAS
Q16665,HIF1A,Hypoxia-inducible factor 1-alpha
Q8IVT5,KSR1,Kinase suppressor of Ras 1
Q96C86,DCPS,m7GpppX diphosphatase
Q96LC9,BMF,Bcl-2-modifying factor
Q9GZZ9,UBA5,Ubiquitin-like modifier-activating enzyme 5
Q9Y3C8,UFC1,Ubiquitin-fold modifier-conjugating enzyme 1
Q13576,IQGAP2,Ras GTPase-activating-like protein IQGAP2
Q9BQE4,SELENOS,Selenoprotein S
P00533,EGFR,Epidermal growth factor receptor
Q14318,FKBP8,Peptidyl-prolyl cis-trans isomerase FKBP8
P10415,BCL2,Apoptosis regulator Bcl-2
P27348,YWHAQ,14-3-3 protein theta
O15068,MCF2L,Guanine nucleotide exchange factor DBS
Q15013,MAD2L1BP,MAD2L1-binding protein
Q12834,CDC20,Cell division cycle protein 20 homolog
O00268,TAF4,Transcription initiation factor TFIID subunit 4
P15056,BRAF,Serine/threonine-protein kinase B-raf
O43561,LAT,Linker for activation of T-cells family member 1
Q5T1C6,THEM4,Acyl-coenzyme A thioesterase THEM4
P23297,S100A1,Protein S100-A1
P00749,PLAU,Urokinase-type plasminogen activator
P05121,SERPINE1,Plasminogen activator inhibitor 1
P34932,HSPA4,Heat shock 70 kDa protein 4
Q9BXH1,BBC3,"Bcl-2-binding component 3, isoforms 1/2"
O94888,UBXN7,UBX domain-containing protein 7
P12268,IMPDH2,Inosine-5'-monophosphate dehydrogenase 2
P07550,ADRB2,Beta-2 adrenergic receptor
P55957,BID,BH3-interacting domain death agonist
Q9BUN8,DERL1,Derlin-1
Q9Y4D1,DAAM1,Disheveled-associated activator of morphogenesis 1
P61586,RHOA,Transforming protein RhoA
Q504Q3,PAN2,PAN2-PAN3 deadenylation complex catalytic subunit PAN2
P54253,ATXN1,Ataxin-1
Q9BZE9,ASPSCR1,Tether containing UBX domain for GLUT4
P07197,NEFM,Neurofilament medium polypeptide
P08670,VIM,Vimentin
Q9Y2J2,EPB41L3,Band 4.1-like protein 3
Q9P0K7,RAI14,Ankycorbin
P63279,UBE2I,SUMO-conjugating enzyme UBC9
P46937,YAP1,Transcriptional coactivator YAP1
Q92900,UPF1,Regulator of nonsense transcripts 1
Q9HCJ0,TNRC6C,Trinucleotide repeat-containing gene 6C protein
P84022,SMAD3,Mothers against decapentaplegic homolog 3
P04637,TP53,Cellular tumor antigen p53
Q86VP1,TAX1BP1,Tax1-binding protein 1
P61981,YWHAG,14-3-3 protein gamma
Q05209,PTPN12,Tyrosine-protein phosphatase non-receptor type 12
Q8WVM7,STAG1,Cohesin subunit SA-1
Q8N3U4,STAG2,Cohesin subunit SA-2
Q96JH7,VCPIP1,Deubiquitinating protein VCPIP1
Q16611,BAK1,Bcl-2 homologous antagonist/killer
Q6PKG0,LARP1,La-related protein 1
P08253,MMP2,72 kDa type IV collagenase
P10997,IAPP,Islet amyloid polypeptide
Q02156,PRKCE,Protein kinase C epsilon type
Q9H8S9,MOB1A,MOB kinase activator 1A
Q13009,TIAM1,Rho guanine nucleotide exchange factor TIAM1
Q9UDY8,MALT1,Mucosa-associated lymphoid tissue lymphoma translocation protein 1
O95999,BCL10,B-cell lymphoma/leukemia 10
Q9UNN5,FAF1,FAS-associated factor 1
P24385,CCND1,G1/S-specific cyclin-D1
Q02297,NRG1,"Pro-neuregulin-1, membrane-bound isoform"
P21860,ERBB3,Receptor tyrosine-protein kinase erbB-3
Q9H074,PAIP1,Polyadenylate-binding protein-interacting protein 1
O60216,RAD21,Double-strand-break repair protein rad21 homolog
P10275,AR,Androgen receptor
P23588,EIF4B,Eukaryotic translation initiation factor 4B
Q14152,EIF3A,Eukaryotic translation initiation factor 3 subunit A
Q9HA65,TBC1D17,TBC1 domain family member 17
Q9GZT9,EGLN1,Egl nine homolog 1
P49257,LMAN1,Protein ERGIC-53
Q8NI22,MCFD2,Multiple coagulation factor deficiency protein 2
P20338,RAB4A,Ras-related protein Rab-4A
P98170,XIAP,E3 ubiquitin-protein ligase XIAP
Q86X27,RALGPS2,Ras-specific guanine nucleotide-releasing factor RalGPS2
O95544,NADK,NAD kinase
P53667,LIMK1,LIM domain kinase 1
Q8NDV7,TNRC6A,Trinucleotide repeat-containing gene 6A protein
Q96RJ3,TNFRSF13C,Tumor necrosis factor receptor superfamily member 13C
Q9Y275,TNFSF13B,Tumor necrosis factor ligand superfamily member 13B
Q03405,PLAUR,Urokinase plasminogen activator surface receptor
P38398,BRCA1,Breast cancer type 1 susceptibility protein
Q9NPB6,PARD6A,Partitioning defective 6 homolog alpha
O00124,UBXN8,UBX domain-containing protein 8
P68543,UBXN2A,UBX domain-containing protein 2A
P06400,RB1,Retinoblastoma-associated protein
Q15303,ERBB4,Receptor tyrosine-protein kinase erbB-4
Q7KZI7,MARK2,Serine/threonine-protein kinase MARK2
P00734,F2,Prothrombin
P07204,THBD,Thrombomodulin
P43403,ZAP70,Tyrosine-protein kinase ZAP-70
Q6ZNE5,ATG14,Beclin 1-associated autophagy-related key regulator
O75376,NCOR1,Nuclear receptor corepressor 1
Q9UQ35,SRRM2,Serine/arginine repetitive matrix protein 2
Q14683,SMC1A,Structural maintenance of chromosomes protein 1A
Q13257,MAD2L1,Mitotic spindle assembly checkpoint protein MAD2A
P35236,PTPN7,Tyrosine-protein phosphatase non-receptor type 7
P06733,ENO1,Alpha-enolase
P31947,SFN,14-3-3 protein sigma
Q02078,MEF2A,Myocyte-specific enhancer factor 2A
Q13188,STK3,Serine/threonine-protein kinase 3
Q9BZV1,UBXN6,UBX domain-containing protein 6
P49815,TSC2,Tuberin
Q8IYD1,GSPT2,Eukaryotic peptide chain release factor GTP-binding subunit ERF3B
Q9Y6K9,IKBKG,NF-kappa-B essential modulator
Q5S007,LRRK2,Leucine-rich repeat serine/threonine-protein kinase 2
Q13485,SMAD4,Mothers against decapentaplegic homolog 4
O00214,LGALS8,Galectin-8
P13612,ITGA4,Integrin alpha-4
Q9UJY4,GGA2,ADP-ribosylation factor-binding protein GGA2
Q92575,UBXN4,UBX domain-containing protein 4
Q9BPZ3,PAIP2,Polyadenylate-binding protein-interacting protein 2
Q9UQE7,SMC3,Structural maintenance of chromosomes protein 3
P42858,HTT,Huntingtin
O15056,SYNJ2,Synaptojanin-2
Q14CS0,UBXN2B,UBX domain-containing protein 2B
Q99700,ATXN2,Ataxin-2
Q06413,MEF2C,Myocyte-specific enhancer factor 2C
Q99683,MAP3K5,Mitogen-activated protein kinase kinase kinase 5
P46934,NEDD4,E3 ubiquitin-protein ligase NEDD4
Q13137,CALCOCO2,Calcium-binding and coiled-coil domain-containing protein 2
P19878,NCF2,Neutrophil cytosol factor 2
Q9NSK0,KLC4,Kinesin light chain 4
P50616,TOB1,Protein Tob1
P49841,GSK3B,Glycogen synthase kinase-3 beta
P26006,ITGA3,Integrin alpha-3
Q05513,PRKCZ,Protein kinase C zeta type
Q5VWG9,TAF3,Transcription initiation factor TFIID subunit 3
P35269,GTF2F1,General transcription factor IIF subunit 1
Q16613,AANAT,Serotonin N-acetyltransferase
P13224,GP1BB,Platelet glycoprotein Ib beta chain
O15379,HDAC3,Histone deacetylase 3
Q14289,PTK2B,Protein-tyrosine kinase 2-beta
Q13618,CUL3,Cullin-3
Q9NS23,RASSF1,Ras association domain-containing protein 1
Q9UHD2,TBK1,Serine/threonine-protein kinase TBK1
P33176,KIF5B,Kinesin-1 heavy chain
Q15910,EZH2,Histone-lysine N-methyltransferase EZH2
P46940,IQGAP1,Ras GTPase-activating-like protein IQGAP1
P50148,GNAQ,Guanine nucleotide-binding protein G(q) subunit alpha
P21731,TBXA2R,Thromboxane A2 receptor
P63167,DYNLL1,"Dynein light chain 1, cytoplasmic"
P05556,ITGB1,Integrin beta-1
O75962,TRIO,Triple functional domain protein
P56279,TCL1A,T-cell leukemia/lymphoma protein 1A
Q9NZ52,GGA3,ADP-ribosylation factor-binding protein GGA3
P52757,CHN2,Beta-chimaerin
Q9UKV5,AMFR,E3 ubiquitin-protein ligase AMFR
Q2MKA7,RSPO1,R-spondin-1
Q9ULT6,ZNRF3,E3 ubiquitin-protein ligase ZNRF3
Q04637,EIF4G1,Eukaryotic translation initiation factor 4 gamma 1
P68400,CSNK2A1,Casein kinase II subunit alpha
Q13094,LCP2,Lymphocyte cytosolic protein 2
Q9Y2A7,NCKAP1,Nck-associated protein 1
Q14185,DOCK1,Dedicator of cytokinesis protein 1
P25963,NFKBIA,NF-kappa-B inhibitor alpha
Q8TDY2,RB1CC1,RB1-inducible coiled-coil protein 1
O75143,ATG13,Autophagy-related protein 13
P52565,ARHGDIA,Rho GDP-dissociation inhibitor 1
Q13794,PMAIP1,Phorbol-12-myristate-13-acetate-induced protein 1
Q9UJ41,RABGEF1,Rab5 GDP/GTP exchange factor
P53365,ARFIP2,Arfaptin-2
Q9UQ80,PA2G4,Proliferation-associated protein 2G4
O43432,EIF4G3,Eukaryotic translation initiation factor 4 gamma 3
Q12906,ILF3,Interleukin enhancer-binding factor 3
O43422,THAP12,52 kDa repressor of the inhibitor of the protein kinase
O15530,PDPK1,3-phosphoinositide-dependent protein kinase 1
Q5PRF9,SAMD4B,Protein Smaug homolog 2
Q6X4U4,SOSTDC1,Sclerostin domain-containing protein 1
P46527,CDKN1B,Cyclin-dependent kinase inhibitor 1B
Q9NVD7,PARVA,Alpha-parvin
P50749,RASSF2,Ras association domain-containing protein 2
P42345,MTOR,Serine/threonine-protein kinase mTOR
Q14766,LTBP1,Latent-transforming growth factor beta-binding protein 1
P01137,TGFB1,Transforming growth factor beta-1 proprotein
P43026,GDF5,Growth/differentiation factor 5
P36894,BMPR1A,Bone morphogenetic protein receptor type-1A
Q9UJY5,GGA1,ADP-ribosylation factor-binding protein GGA1
P47897,QARS1,Glutamine--tRNA ligase
P54136,RARS1,"Arginine--tRNA ligase, cytoplasmic"
P30304,CDC25A,M-phase inducer phosphatase 1
P43405,SYK,Tyrosine-protein kinase SYK
P04150,NR3C1,Glucocorticoid receptor
P78314,SH3BP2,SH3 domain-binding protein 2
P83110,HTRA3,Serine protease HTRA3
P35240,NF2,Merlin
P19838,NFKB1,Nuclear factor NF-kappa-B p105 subunit
P0CG48,UBC,Polyubiquitin-C
Q9UQB8,BAIAP2,BAR/IMD domain-containing adapter protein 2
Q7Z6Z7,HUWE1,E3 ubiquitin-protein ligase HUWE1
Q8NHG7,SVIP,Small VCP/p97-interacting protein
P07359,GP1BA,Platelet glycoprotein Ib alpha chain
P15927,RPA2,Replication protein A 32 kDa subunit
P30305,CDC25B,M-phase inducer phosphatase 2
P02760,AMBP,Protein AMBP
P56962,STX17,Syntaxin-17
O95721,SNAP29,Synaptosomal-associated protein 29
Q15025,TNIP1,TNFAIP3-interacting protein 1
O96013,PAK4,Serine/threonine-protein kinase PAK 4
Q04917,YWHAH,14-3-3 protein eta
Q04206,RELA,Transcription factor p65
P04626,ERBB2,Receptor tyrosine-protein kinase erbB-2
Q86WH2,RASSF3,Ras association domain-containing protein 3
P10398,ARAF,Serine/threonine-protein kinase A-Raf
O00238,BMPR1B,Bone morphogenetic protein receptor type-1B
P49915,GMPS,GMP synthase [glutamine-hydrolyzing]
Q93009,USP7,Ubiquitin carboxyl-terminal hydrolase 7
P25098,GRK2,Beta-adrenergic receptor kinase 1
O94829,IPO13,Importin-13
P47813,EIF1AX,"Eukaryotic translation initiation factor 1A, X-chromosomal"
Q8IY63,AMOTL1,Angiomotin-like protein 1
P01009,SERPINA1,Alpha-1-antitrypsin
P04792,HSPB1,Heat shock protein beta-1
Q92622,RUBCN,Run domain Beclin-1-interacting and cysteine-rich domain-containing protein
Q92854,SEMA4D,Semaphorin-4D
O43157,PLXNB1,Plexin-B1
P23528,CFL1,Cofilin-1
O15550,KDM6A,Lysine-specific demethylase 6A
Q15291,RBBP5,Retinoblastoma-binding protein 5
P01732,CD8A,T-cell surface glycoprotein CD8 alpha chain
P00519,ABL1,Tyrosine-protein kinase ABL1
P20908,COL5A1,Collagen alpha-1(V) chain
Q9Y3D8,AK6,Adenylate kinase isoenzyme 6
Q9UPT9,USP22,Ubiquitin carboxyl-terminal hydrolase 22
Q8IYU2,HACE1,E3 ubiquitin-protein ligase HACE1
P20849,COL9A1,Collagen alpha-1(IX) chain
P02458,COL2A1,Collagen alpha-1(II) chain
Q5T124,UBXN11,UBX domain-containing protein 11
Q9BXW4,MAP1LC3C,Microtubule-associated protein 1 light chain 3 gamma
Q9NQ66,PLCB1,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-1"
P43250,GRK6,G protein-coupled receptor kinase 6
P41182,BCL6,B-cell lymphoma 6 protein
Q9ULH1,ASAP1,"Arf-GAP with SH3 domain, ANK repeat and PH domain-containing protein 1"
P61964,WDR5,WD repeat-containing protein 5
Q12983,BNIP3,BCL2/adenovirus E1B 19 kDa protein-interacting protein 3
O60220,TIMM8A,Mitochondrial import inner membrane translocase subunit Tim8 A
Q13671,RIN1,Ras and Rab interactor 1
Q4VCS5,AMOT,Angiomotin
Q9H4L7,SMARCAD1,SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A containing DEAD/H box 1
Q13263,TRIM28,Transcription intermediary factor 1-beta
O60504,SORBS3,Vinexin
Q66K74,MAP1S,Microtubule-associated protein 1S
P25705,ATP5F1A,"ATP synthase subunit alpha, mitochondrial"
P05783,KRT18,"Keratin, type I cytoskeletal 18"
P10071,GLI3,Transcriptional activator GLI3
O60238,BNIP3L,BCL2/adenovirus E1B 19 kDa protein-interacting protein 3-like
Q14562,DHX8,ATP-dependent RNA helicase DHX8
Q9NYV4,CDK12,Cyclin-dependent kinase 12
O75909,CCNK,Cyclin-K
P05120,SERPINB2,Plasminogen activator inhibitor 2
Q92743,HTRA1,Serine protease HTRA1
Q9H2L5,RASSF4,Ras association domain-containing protein 4
Q8WTS6,SETD7,Histone-lysine N-methyltransferase SETD7
Q9Y613,FHOD1,FH1/FH2 domain-containing protein 1
P60842,EIF4A1,Eukaryotic initiation factor 4A-I
P26367,PAX6,Paired box protein Pax-6
Q9H307,PNN,Pinin
Q9ULR5,PAIP2B,Polyadenylate-binding protein-interacting protein 2B
P51784,USP11,Ubiquitin carboxyl-terminal hydrolase 11
P17152,TMEM11,"Transmembrane protein 11, mitochondrial"
Q9Y490,TLN1,Talin-1
P41240,CSK,Tyrosine-protein kinase CSK
Q9UMS4,PRPF19,Pre-mRNA-processing factor 19
Q8TEW0,PARD3,Partitioning defective 3 homolog
Q13616,CUL1,Cullin-1
Q9UER7,DAXX,Death domain-associated protein 6
P80098,CCL7,C-C motif chemokine 7
Q02241,KIF23,Kinesin-like protein KIF23
Q8IV38,ANKMY2,Ankyrin repeat and MYND domain-containing protein 2
Q676U5,ATG16L1,Autophagy-related protein 16-1
O43143,DHX15,ATP-dependent RNA helicase DHX15
P49796,RGS3,Regulator of G-protein signaling 3
Q99956,DUSP9,Dual specificity protein phosphatase 9
Q9H0B6,KLC2,Kinesin light chain 2
O75385,ULK1,Serine/threonine-protein kinase ULK1
Q9UIV1,CNOT7,CCR4-NOT transcription complex subunit 7
Q9Y618,NCOR2,Nuclear receptor corepressor 2
Q9Y4K3,TRAF6,TNF receptor-associated factor 6
P35625,TIMP3,Metalloproteinase inhibitor 3
Q9Y4H2,IRS2,Insulin receptor substrate 2
Q9UKV8,AGO2,Protein argonaute-2
Q8NFZ5,TNIP2,TNFAIP3-interacting protein 2
O95197,RTN3,Reticulon-3
Q9NQC3,RTN4,Reticulon-4
Q7KZF4,SND1,Staphylococcal nuclease domain-containing protein 1
P42226,STAT6,Signal transducer and activator of transcription 6
Q4LE39,ARID4B,AT-rich interactive domain-containing protein 4B
Q96ST3,SIN3A,Paired amphipathic helix protein Sin3a
P53778,MAPK12,Mitogen-activated protein kinase 12
Q14160,SCRIB,Protein scribble homolog
P30307,CDC25C,M-phase inducer phosphatase 3
O60674,JAK2,Tyrosine-protein kinase JAK2
Q13191,CBLB,E3 ubiquitin-protein ligase CBL-B
Q13114,TRAF3,TNF receptor-associated factor 3
O75475,PSIP1,PC4 and SFRS1-interacting protein
O00255,MEN1,Menin
Q96LJ8,UBXN10,UBX domain-containing protein 10
P01034,CST3,Cystatin-C
P07858,CTSB,Cathepsin B
Q9Y3C5,RNF11,RING finger protein 11
Q12802,AKAP13,A-kinase anchor protein 13
Q7Z5K2,WAPL,Wings apart-like protein homolog
Q8WUI4,HDAC7,Histone deacetylase 7
P02671,FGA,Fibrinogen alpha chain
O43524,FOXO3,Forkhead box protein O3
Q15788,NCOA1,Nuclear receptor coactivator 1
P07196,NEFL,Neurofilament light polypeptide
Q13155,AIMP2,Aminoacyl tRNA synthase complex-interacting multifunctional protein 2
O43747,AP1G1,AP-1 complex subunit gamma-1
Q13501,SQSTM1,Sequestosome-1
Q14BN4,SLMAP,Sarcolemmal membrane-associated protein
P07093,SERPINE2,Glia-derived nexin
O15265,ATXN7,Ataxin-7
O95466,FMNL1,Formin-like protein 1
Q05516,ZBTB16,Zinc finger and BTB domain-containing protein 16
Q9Y6Q9,NCOA3,Nuclear receptor coactivator 3
Q9NPQ8,RIC8A,Chaperone Ric-8A
O15111,CHUK,Inhibitor of nuclear factor kappa-B kinase subunit alpha
Q9NP98,MYOZ1,Myozenin-1
Q14315,FLNC,Filamin-C
