Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	PubMed ID
O00635	reviewed	TRI38_HUMAN	E3 ubiquitin-protein ligase TRIM38 (EC 2.3.2.27) (RING finger protein 15) (Tripartite motif-containing protein 38) (Zinc finger protein RoRet)	TRIM38 RNF15 RORET	Homo sapiens (Human)	465	9149941; 14702039; 15489334; 21269460; 23056470; 24275569; 24434549
O14681	reviewed	EI24_HUMAN	Etoposide-induced protein 2.4 homolog (p53-induced gene 8 protein)	EI24 PIG8	Homo sapiens (Human)	340	9305847; 14702039; 15489334; 11753653; 17081983; 18691976; 18669648; 19690332; 20068231; 21269460; 21154811; 22814378; 23186163; 24275569
O14862	reviewed	AIM2_HUMAN	Interferon-inducible protein AIM2 (Absent in melanoma 2)	AIM2	Homo sapiens (Human)	343	9242382; 14702039; 16710414; 15489334; 8454910; 15582594; 16432157; 17726700; 19158679; 19158676; 19158675; 20566831; 22046441; 22869553; 22801494; 24531343; 26197926; 27498865; 30104205; 29440442; 37364111; 22483801; 23530044; 24406744; 26583071; 33980849
O15027	reviewed	SC16A_HUMAN	Protein transport protein Sec16A (SEC16 homolog A) (p250)	SEC16A KIAA0310 SEC16 SEC16L	Homo sapiens (Human)	2357	9205841; 12168954; 15164053; 17192411; 15489334; 17081983; 16964243; 17005010; 17428803; 17924679; 18691976; 18669648; 18318008; 19413330; 19638414; 19369195; 19690332; 20068231; 21269460; 21768384; 22355596; 21406692; 23186163; 24275569; 25201882; 28442536; 28067262; 29300766
O15040	reviewed	TCPR2_HUMAN	Tectonin beta-propeller repeat-containing protein 2 (WD repeat-containing protein KIAA0329/KIAA0297)	TECPR2 KIAA0297 KIAA0329	Homo sapiens (Human)	1411	9205841; 12508121; 15489334; 18669648; 20562859; 23176824
O15118	reviewed	NPC1_HUMAN	NPC intracellular cholesterol transporter 1 (Niemann-Pick C1 protein)	NPC1	Homo sapiens (Human)	1278	9211849; 10425213; 11754101; 14702039; 16177791; 15489334; 9927649; 10821832; 17897319; 18772377; 19583955; 19159218; 18832164; 20674853; 21269460; 21412152; 21866103; 25855742; 25944712; 27378690; 28336668; 32855215; 34799735; 19563754; 26771495; 27238017; 26846330; 27551080; 28784760; 9634529; 10521290; 10521297; 10480349; 11182931; 11349231; 11333381; 11545687; 11479732; 12408188; 12401890; 12554680; 12955717; 16098014; 15774455; 16126423; 16802107; 23453666
O15294	reviewed	OGT1_HUMAN	UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase 110 kDa subunit (EC 2.4.1.255) (O-GlcNAc transferase subunit p110) (O-linked N-acetylglucosamine transferase 110 kDa subunit) (OGT)	OGT	Homo sapiens (Human)	1046	9083068; 11773972; 17974005; 15489334; 12150998; 12670868; 18669648; 19413330; 19451179; 19073609; 19377461; 24336203; 20018852; 20018868; 20200153; 20824293; 21269460; 22121020; 21285374; 22814378; 22923583; 23353889; 23629655; 23186163; 23222540; 24995978; 24563466; 24474760; 26678539; 26369908; 27527864; 27713473; 28742148; 30699359; 31527085; 34074792; 34667079; 37541260; 15361863; 21240259; 23103939; 26237509; 26273451; 28302723; 28584052
O15553	reviewed	MEFV_HUMAN	Pyrin (Marenostrin)	MEFV MEF TRIM20	Homo sapiens (Human)	781	9288758; 11115844; 15489334; 9288094; 11470495; 10807793; 10666224; 11468188; 11498534; 14595024; 12384939; 16037825; 16785446; 17431422; 17964261; 18577712; 19109554; 19584923; 26347139; 19729025; 9668175; 10024914; 10090880; 10364520; 10234504; 10612841; 10737995; 10854105; 10842288; 10787449; 11464238; 12124996; 14679589; 15024744; 16378925; 16730661; 23031807; 23505238; 24929125; 27030597; 28835462
O43293	reviewed	DAPK3_HUMAN	Death-associated protein kinase 3 (DAP kinase 3) (EC 2.7.11.1) (DAP-like kinase) (Dlk) (MYPT1 kinase) (Zipper-interacting protein kinase) (ZIP-kinase)	DAPK3 ZIPK	Homo sapiens (Human)	454	9488481; 10356987; 14702039; 15489334; 17126281; 11384979; 11781833; 12917339; 15292222; 15096528; 15367680; 16219639; 15910542; 15611134; 16756490; 17158456; 17953487; 18995835; 18084323; 21487036; 20854903; 21169990; 21454679; 21408167; 23454120; 23186163; 18239682; 17344846
O43353	reviewed	RIPK2_HUMAN	Receptor-interacting serine/threonine-protein kinase 2 (EC 2.7.11.1) (CARD-containing interleukin-1 beta-converting enzyme-associated kinase) (CARD-containing IL-1 beta ICE-kinase) (RIP-like-interacting CLARP kinase) (Receptor-interacting protein 2) (RIP-2) (Tyrosine-protein kinase RIPK2) (EC 2.7.10.2)	RIPK2 CARDIAK RICK RIP2 UNQ277/PRO314/PRO34092	Homo sapiens (Human)	540	9575181; 9642260; 9705938; 12975309; 14702039; 16421571; 15489334; 15044951; 14638696; 16824733; 17355968; 17054981; 17562858; 18775659; 18079694; 18691976; 18669648; 19592251; 19464198; 19369195; 21123652; 20068231; 21269460; 21931591; 22520462; 22672233; 21887730; 22607974; 23186163; 23806334; 24275569; 27812135; 28436939; 28656966; 27830463; 29452636; 36221902; 26646181; 28545134; 30279485; 30478312; 30026309; 17344846
O43464	reviewed	HTRA2_HUMAN	Serine protease HTRA2, mitochondrial (EC 3.4.21.108) (High temperature requirement protein A2) (HtrA2) (Omi stress-regulated endoprotease) (Serine protease 25) (Serine proteinase OMI)	HTRA2 OMI PRSS25	Homo sapiens (Human)	458	10644717; 10971580; 10995577; 15815621; 15489334; 11583623; 10873535; 15200957; 19502560; 21269460; 23479728; 24275569; 25944712; 11967569; 15961413; 18401856; 18364387; 25422467; 27208207; 27535533; 27696117
O43521	reviewed	B2L11_HUMAN	Bcl-2-like protein 11 (Bcl2-L-11) (Bcl2-interacting mediator of cell death)	BCL2L11 BIM	Homo sapiens (Human)	198	9430630; 11734221; 12019181; 11997495; 15147734; 17503221; 14702039; 15815621; 15489334; 15486195; 15661735; 16509771; 17289999; 19690332; 21478148; 22498477; 22761832; 23563182; 23186163; 27013495; 17389404; 18812174; 23235460
O43524	reviewed	FOXO3_HUMAN	Forkhead box protein O3 (AF6q21 protein) (Forkhead in rhabdomyosarcoma-like 1)	FOXO3 FKHRL1 FOXO3A	Homo sapiens (Human)	673	9479491; 14702039; 14574404; 15489334; 9345057; 10102273; 11154281; 15084260; 16751106; 17711846; 18593906; 18220336; 18669648; 19413330; 19690332; 20181828; 21269460; 21329882; 22820736; 22313691; 21841822; 22761832; 23283301; 23805378; 23186163; 29445193; 30513302; 17940099
O43633	reviewed	CHM2A_HUMAN	Charged multivesicular body protein 2a (Chromatin-modifying protein 2a) (CHMP2a) (Putative breast adenocarcinoma marker BC-2) (Vacuolar protein sorting-associated protein 2-1) (Vps2-1) (hVps2-1)	CHMP2A BC2 CHMP2	Homo sapiens (Human)	222	16533400; 14702039; 15489334; 12665801; 11559748; 14505570; 14519844; 16730941; 17853893; 17547705; 18385515; 18687924; 21269460; 21543490; 21310966; 23186163; 24275569; 26040712; 28242692
O43741	reviewed	AAKB2_HUMAN	5'-AMP-activated protein kinase subunit beta-2 (AMPK subunit beta-2)	PRKAB2	Homo sapiens (Human)	272	9575201; 12490143; 14702039; 16710414; 15489334; 18691976; 18669648; 18318008; 19413330; 19369195; 19690332; 20068231; 21460634; 17307971; 17712357; 21269460; 21406692; 23186163; 24275569; 17851531; 21399626
O43866	reviewed	CD5L_HUMAN	CD5 antigen-like (Apoptosis inhibitor expressed by macrophages) (hAIM) (CT-2) (IgM-associated peptide) (SP-alpha)	CD5L API6 UNQ203/PRO229	Homo sapiens (Human)	347	9045627; 12975309; 14702039; 16710414; 15489334; 8034987; 11981870; 15340161; 16030018; 23236605; 24223991; 24583716; 24295828; 24275569; 24804991; 25713983
O60260	reviewed	PRKN_HUMAN	E3 ubiquitin-protein ligase parkin (Parkin) (EC 2.3.2.31) (Parkin RBR E3 ubiquitin-protein ligase) (Parkinson juvenile disease protein 2) (Parkinson disease protein 2)	PRKN PARK2	Homo sapiens (Human)	465	9560156; 19501131; 14702039; 14574404; 15489334; 10319893; 10973942; 10888878; 11078524; 11439185; 11590439; 11431533; 12446796; 12150907; 12925569; 14532270; 12628165; 14614460; 12719539; 15229644; 15105460; 15987638; 15728840; 16135753; 16352719; 16332688; 16955485; 17846173; 18957282; 19029340; 18541373; 19229105; 19801972; 20798600; 20889974; 19966284; 21376232; 20889486; 21753002; 21532592; 22082830; 22396657; 23754282; 23933751; 24270810; 23770917; 23620051; 24660806; 24898855; 25474007; 24751536; 24784582; 24896179; 25527291; 25621951; 27534820; 32047033; 33499712; 12634850; 17360614; 23727886; 23770887; 14976155; 9731209; 10072423; 10511432; 10939576; 10965160; 10824074; 11179010; 11487568; 11163284; 12116199; 12112109; 12056932; 12114481; 12397156; 11971093; 12362318; 12730996; 12629236; 12781599; 15584030; 20404107; 22956510; 27535533; 29311685
O60356	reviewed	NUPR1_HUMAN	Nuclear protein 1 (Candidate of metastasis 1) (Protein p8)	NUPR1 COM1	Homo sapiens (Human)	82	10092851; 10493524; 14702039; 16341674; 10493829; 15489334; 11056169; 11940591; 16300740; 16478804; 18690848; 19650074; 19723804; 20181828; 22858377; 22565310; 28720707; 30451898
O60478	reviewed	G137B_HUMAN	Integral membrane protein GPR137B (Transmembrane 7 superfamily member 1 protein)	GPR137B TM7SF1	Homo sapiens (Human)	399	9521871; 16710414; 15489334; 22729905; 31036939
O60664	reviewed	PLIN3_HUMAN	Perilipin-3 (47 kDa mannose 6-phosphate receptor-binding protein) (47 kDa MPR-binding protein) (Cargo selection protein TIP47) (Mannose-6-phosphate receptor-binding protein 1) (Placental protein 17) (PP17)	PLIN3 M6PRBP1 TIP47	Homo sapiens (Human)	434	9590177; 9874244; 10393528; 14702039; 15057824; 15489334; 6856484; 15545278; 18669648; 19413330; 19608861; 20068231; 21269460; 22223895; 22814378; 23186163; 24275569; 25114211; 26357594; 25944712; 34077757
O60784	reviewed	TOM1_HUMAN	Target of Myb1 membrane trafficking protein (Target of Myb protein 1)	TOM1	Homo sapiens (Human)	492	10329004; 15461802; 14702039; 10591208; 15489334; 14563850; 14613930; 15047686; 15657082; 17081983; 18669648; 19690332; 20068231; 21269460; 21406692; 22223895; 23023224; 22814378; 23186163; 24275569; 25588840; 25944712; 28112733; 10985773; 16199040; 26320582; 26977434; 31371777; 31263572
O60858	reviewed	TRI13_HUMAN	E3 ubiquitin-protein ligase TRIM13 (EC 2.3.2.27) (B-cell chronic lymphocytic leukemia tumor suppressor Leu5) (Leukemia-associated protein 5) (Putative tumor suppressor RFP2) (RING finger protein 77) (RING-type E3 ubiquitin transferase TRIM13) (Ret finger protein 2) (Tripartite motif-containing protein 13)	TRIM13 LEU5 RFP2 RNF77	Homo sapiens (Human)	407	9599022; 11264177; 11331580; 14499696; 14702039; 15057823; 15489334; 17314412; 21333377; 22178386; 25152375; 25088585; 28087809
O75140	reviewed	DEPD5_HUMAN	GATOR1 complex protein DEPDC5 (DEP domain-containing protein 5)	DEPDC5 KIAA0645	Homo sapiens (Human)	1603	15770670; 9734811; 14702039; 10591208; 15489334; 17974005; 18669648; 23723238; 25457612; 24275569; 28199306; 29769719; 31548394; 29590090; 35338845; 26505888; 27173016; 23542697; 23542701; 24591017; 24283814; 25366275
O75143	reviewed	ATG13_HUMAN	Autophagy-related protein 13	ATG13 KIAA0652	Homo sapiens (Human)	517	9734811; 14702039; 16554811; 15489334; 19413330; 19597335; 19287211; 19211835; 19225151; 21855797; 18936157; 21795849; 21258367; 21976705; 23043107; 22814378; 23186163; 24275569; 27334615; 31806350; 24290141; 26236954; 26299944
O75164	reviewed	KDM4A_HUMAN	Lysine-specific demethylase 4A (EC 1.14.11.66) (EC 1.14.11.69) (JmjC domain-containing histone demethylation protein 3A) (Jumonji domain-containing protein 2A) ([histone H3]-trimethyl-L-lysine(36) demethylase 4A) ([histone H3]-trimethyl-L-lysine(9) demethylase 4A)	KDM4A JHDM3A JMJD2 JMJD2A KIAA0677	Homo sapiens (Human)	1064	9734811; 16710414; 15489334; 15927959; 16024779; 16603238; 16415788; 18669648; 19413330; 21406692; 22373579; 21694756; 28212444; 23186163; 16677698; 16601153; 26741168; 27214403
O75351	reviewed	VPS4B_HUMAN	Vacuolar protein sorting-associated protein 4B (EC 3.6.4.6) (Cell migration-inducing gene 1 protein) (Suppressor of K(+) transport growth defect 1) (Protein SKD1)	VPS4B SKD1 VPS42 MIG1	Homo sapiens (Human)	444	11563910; 12594041; 9653160; 15489334; 11559748; 14505570; 17081983; 17525332; 18606141; 18088087; 18385515; 18669648; 18318008; 18687924; 19413330; 19129479; 19608861; 20068231; 21269460; 21406692; 22660413; 23186163; 24275569; 16018968; 16193069; 17928862
O75368	reviewed	SH3L1_HUMAN	Adapter SH3BGRL (SH3 domain-binding glutamic acid-rich-like protein 1)	SH3BGRL	Homo sapiens (Human)	114	9642120; 11230166; 15772651; 15489334; 21269460; 16511048; 32381043; 34870550; 34331014; 34930999; 16080146
O75385	reviewed	ULK1_HUMAN	Serine/threonine-protein kinase ULK1 (EC 2.7.11.1) (Autophagy-related protein 1 homolog) (ATG1) (hATG1) (Unc-51-like kinase 1)	ULK1 KIAA0722	Homo sapiens (Human)	1050	9693035; 9872452; 12168954; 16541075; 11146101; 18691976; 18669648; 19413330; 19287211; 19597335; 19211835; 18936157; 19369195; 19690332; 20921139; 20068231; 21460634; 21795849; 21406692; 21205641; 22354037; 22613832; 23186163; 23524951; 25126726; 24767988; 25040165; 25127057; 26347139; 25891078; 25438055; 27334615; 28890335; 28821708; 28561066; 29487085; 31806350; 31123703; 37306101; 17344846
O75531	reviewed	BAF_HUMAN	Barrier-to-autointegration factor (Breakpoint cluster region protein 1) [Cleaved into: Barrier-to-autointegration factor, N-terminally processed]	BANF1 BAF BCRG1	Homo sapiens (Human)	89	9465049; 9740667; 15489334; 11005805; 10908652; 11792822; 12163470; 12663813; 14645565; 15681850; 16203725; 16371512; 16337940; 16495336; 16680152; 18005698; 19413330; 19608861; 20068231; 21269460; 22770216; 15130582; 22399800; 24600006; 25991860; 25944712; 28841419; 32494070; 31796734; 32792394; 9783751; 10924106; 21549337
O75592	reviewed	MYCB2_HUMAN	E3 ubiquitin-protein ligase MYCBP2 (EC 2.3.2.33) (Myc-binding protein 2) (Protein associated with Myc)	MYCBP2 KIAA0916 PAM	Homo sapiens (Human)	4678	9689053; 15057823; 10048485; 12168954; 15489334; 11042152; 14559897; 17081983; 18308511; 18691976; 18669648; 19413330; 19398581; 19369195; 19690332; 20534529; 20068231; 21269460; 21406692; 22357847; 23186163; 24275569; 26304119; 27278822; 29293652; 29643511
O75608	reviewed	LYPA1_HUMAN	Acyl-protein thioesterase 1 (APT-1) (hAPT1) (EC 3.1.2.-) (Lysophospholipase 1) (Lysophospholipase I) (LPL-I) (LysoPLA I) (Palmitoyl-protein hydrolase) (EC 3.1.2.22)	LYPLA1 APT1 LPL1	Homo sapiens (Human)	230	11080636; 11042152; 15489334; 19439193; 20418879; 21269460; 21393252; 22399288; 25944712; 27481942; 37802024
O75629	reviewed	CREG1_HUMAN	Protein CREG1 (Cellular repressor of E1A-stimulated genes 1)	CREG1 CREG UNQ727/PRO1409	Homo sapiens (Human)	220	9710587; 12975309; 14702039; 16710414; 15489334; 15340161; 10815803; 12934103; 19159218; 25944712; 16344469
O75665	reviewed	OFD1_HUMAN	Centriole and centriolar satellite protein OFD1 (Oral-facial-digital syndrome 1 protein) (Protein 71-7A)	OFD1 CXorf5	Homo sapiens (Human)	1012	9722947; 15772651; 15489334; 33934390; 12595504; 14654843; 16783569; 17761535; 18669648; 19800048; 20230748; 20835237; 21406692; 22619378; 24121310; 23186163; 24089205; 24275569; 24997988; 26643951; 11179005; 11950863; 16397067; 23033313; 26477546
O75677	reviewed	RFPL1_HUMAN	Ret finger protein-like 1 (RING finger protein 78)	RFPL1 RFPL1L RNF78	Homo sapiens (Human)	317	10508838; 15461802; 15489334; 20725088
O75678	reviewed	RFPL2_HUMAN	Ret finger protein-like 2 (RING finger protein 79)	RFPL2 RNF79	Homo sapiens (Human)	378	10508838; 14702039; 15461802; 10591208; 15489334
O75679	reviewed	RFPL3_HUMAN	Ret finger protein-like 3	RFPL3	Homo sapiens (Human)	317	10508838; 15461802; 10591208; 15489334; 18656177; 25107902
O75787	reviewed	RENR_HUMAN	Renin receptor (ATPase H(+)-transporting lysosomal accessory protein 2) (ATPase H(+)-transporting lysosomal-interacting protein 2) (ER-localized type I transmembrane adapter) (Embryonic liver differentiation factor 10) (N14F) (Renin/prorenin receptor) (Vacuolar ATP synthase membrane sector-associated protein M8-9) (ATP6M8-9) (V-ATPase M8.9 subunit) [Cleaved into: Renin receptor N-terminal fragment; Renin receptor C-terminal fragment]	ATP6AP2 ATP6IP2 CAPER ELDF10 HT028 MSTP009 PSEC0072	Homo sapiens (Human)	350	12045255; 10931946; 14702039; 16303743; 15772651; 15489334; 17974005; 9556572; 15746149; 21269460; 23595882; 25944712; 29127204; 30374053; 30985297; 32276428; 21420935; 33065002
O75807	reviewed	PR15A_HUMAN	Protein phosphatase 1 regulatory subunit 15A (Growth arrest and DNA damage-inducible protein GADD34) (Myeloid differentiation primary response protein MyD116 homolog)	PPP1R15A GADD34	Homo sapiens (Human)	674	9153226; 14702039; 15489334; 8139541; 10490642; 11517336; 11564868; 12016208; 12114539; 14635196; 12556489; 12724406; 14718519; 15705855; 19131336; 21518769; 24092754; 23186163; 26742780; 31778897; 32978159; 34985336; 26095357
O75844	reviewed	FACE1_HUMAN	CAAX prenyl protease 1 homolog (EC 3.4.24.84) (Farnesylated proteins-converting enzyme 1) (FACE-1) (Prenyl protein-specific endoprotease 1) (Zinc metalloproteinase Ste24 homolog)	ZMPSTE24 FACE1 STE24	Homo sapiens (Human)	475	10076063; 9700155; 10373325; 16303743; 16710414; 15489334; 18669648; 21269460; 28246125; 28169297; 33315887; 33293369; 35283811; 23539603; 12913070; 15317753; 17152860; 18435794; 20814950
O94817	reviewed	ATG12_HUMAN	Ubiquitin-like protein ATG12 (Autophagy-related protein 12) (APG12-like)	ATG12 APG12 APG12L	Homo sapiens (Human)	140	9852036; 15372022; 15489334; 11096062; 12207896; 11825910; 16963840; 17457038; 17709747; 18704115; 19074260; 17999726; 19473119; 19164948; 19124466; 19666601; 21269460; 22342342; 26812546; 23202584; 34870550; 24191030
O94827	reviewed	PKHG5_HUMAN	Pleckstrin homology domain-containing family G member 5 (PH domain-containing family G member 5) (Guanine nucleotide exchange factor 720) (GEF720)	PLEKHG5 KIAA0720	Homo sapiens (Human)	1006	9872452; 14702039; 16710414; 15489334; 12761501; 11704860; 16467373; 23777631; 28847484; 17564964; 23844677
O94874	reviewed	UFL1_HUMAN	E3 UFM1-protein ligase 1 (EC 2.3.2.-) (E3 UFM1-protein transferase 1) (Multiple alpha-helix protein located at ER) (Novel LZAP-binding protein) (Regulator of C53/LZAP and DDRGK1)	UFL1 KIAA0776 MAXER NLBP RCAD	Homo sapiens (Human)	794	9872452; 14702039; 14574404; 15489334; 17081983; 18318008; 20531390; 20018847; 20164180; 20228063; 20068231; 21269460; 21406692; 22223895; 23152784; 23186163; 24275569; 25219498; 25944712; 30354401; 30886146; 32160526; 32050156; 37311461
O94964	reviewed	MTCL2_HUMAN	Microtubule cross-linking factor 2 (SOGA family member 1) (Suppressor of glucose by autophagy) (Suppressor of glucose, autophagy-associated protein 1) [Cleaved into: N-terminal form; C-terminal 80 kDa form (80-kDa SOGA fragment)]	MTCL2 C20orf117 KIAA0889 SOGA SOGA1	Homo sapiens (Human)	1661	10048485; 14702039; 11780052; 15489334; 18669648; 20813965; 23186163; 33587225
O94967	reviewed	WDR47_HUMAN	WD repeat-containing protein 47 (Neuronal enriched MAP-interacting protein) (Nemitin)	WDR47 KIAA0893	Homo sapiens (Human)	919	10048485; 14702039; 16710414; 15489334; 18220336; 18669648; 20068231; 23186163
O95140	reviewed	MFN2_HUMAN	Mitofusin-2 (EC 3.6.5.-) (Transmembrane GTPase MFN2)	MFN2 CPRP1 KIAA0214	Homo sapiens (Human)	757	12598526; 15322553; 9039502; 14702039; 16710414; 15489334; 17974005; 11181170; 11950885; 12499352; 12759376; 15064763; 17121834; 21269460; 21715711; 23620051; 25008184; 26085578; 26214738; 26955893; 28414270; 28114303; 30217973; 15549395; 16087932; 16437557; 16762064; 16835246; 18425620; 18458227; 18946002; 20008656; 20350294; 19889647; 22206013; 26316991; 24627108; 24604904; 34193129
O95166	reviewed	GBRAP_HUMAN	Gamma-aminobutyric acid receptor-associated protein (GABA(A) receptor-associated protein) (MM46)	GABARAP FLC3B HT004	Homo sapiens (Human)	117	9892355; 11146101; 10931946; 11096062; 11825910; 12507496; 15169837; 15977068; 17580304; 19056683; 20818167; 20562859; 21269460; 21383079; 22948227; 22421968; 23043107; 22354992; 22470510; 24089205; 25126726; 25127057; 26347139; 26929408; 29420192; 30661429; 31006538; 31722778; 32315611; 34338405; 33909989; 36481789; 11729197; 11875056; 11885988; 18638487; 19154346; 24668264; 25684205; 32620754; 37252361
O95210	reviewed	STBD1_HUMAN	Starch-binding domain-containing protein 1 (Genethonin-1) (Glycophagy cargo receptor STBD1)	STBD1 GENX-3414	Homo sapiens (Human)	358	9794794; 14702039; 15489334; 18669648; 20810658; 21893048; 24837458; 24275569; 12424126
O95219	reviewed	SNX4_HUMAN	Sorting nexin-4	SNX4	Homo sapiens (Human)	450	9819414; 14702039; 16641997; 15489334; 12668730; 17994011; 18669648; 19413330; 20068231; 21269460; 23186163; 32513819; 33468622
O95278	reviewed	EPM2A_HUMAN	Laforin (EC 3.1.3.-) (EC 3.1.3.16) (EC 3.1.3.48) (Glucan phosphatase) (Glycogen phosphatase) (Lafora PTPase) (LAFPTPase)	EPM2A	Homo sapiens (Human)	331	9771710; 11001928; 14702039; 14574404; 15489334; 9931343; 11220751; 11883934; 11739371; 12782127; 12915448; 14532330; 14706656; 15102711; 15930137; 16901901; 16971387; 17908927; 18617530; 18070875; 19036738; 19542233; 20453062; 21728993; 22961547; 22036712; 23624058; 23922729; 26231210; 25538239; 25544560; 11175283; 11735300; 12019207; 12560877; 15009235; 14722920; 16021330; 18311786
O95352	reviewed	ATG7_HUMAN	Ubiquitin-like modifier-activating enzyme ATG7 (ATG12-activating enzyme E1 ATG7) (Autophagy-related protein 7) (APG7-like) (hAGP7) (Ubiquitin-activating enzyme E1-like protein)	ATG7 APG7L	Homo sapiens (Human)	703	10233149; 14702039; 16641997; 15489334; 17974005; 11096062; 11890701; 11825910; 16303767; 19413330; 19124466; 19690332; 20543840; 20068231; 21269460; 22170151; 22223895; 23386620; 24275569; 26043688; 34161705
O95361	reviewed	TRI16_HUMAN	Tripartite motif-containing protein 16 (EC 2.3.2.27) (E3 ubiquitin-protein ligase TRIM16) (Estrogen-responsive B box protein)	TRIM16 EBBP	Homo sapiens (Human)	564	9817599; 11919186; 15489334; 22629402; 27693506; 30143514
O95470	reviewed	SGPL1_HUMAN	Sphingosine-1-phosphate lyase 1 (S1PL) (SP-lyase 1) (SPL 1) (hSPL) (EC 4.1.2.27) (Sphingosine-1-phosphate aldolase)	SGPL1 KIAA1252	Homo sapiens (Human)	568	11018465; 14570870; 10574462; 14702039; 15489334; 16777052; 18691976; 19690332; 19608861; 20068231; 21269460; 22784711; 24809814; 28181337; 28165339; 28165343; 30090628; 28077491; 30517686; 30635364
O95486	reviewed	SC24A_HUMAN	Protein transport protein Sec24A (SEC24-related protein A)	SEC24A	Homo sapiens (Human)	1093	15489334; 10075675; 20427317; 21269460; 24275569; 31806350; 34349020; 17499046; 18843296; 32690950; 32929276
