,Gene,Alphafold IDR Content,Length,Localization,HIPPIE Protein Counts
A1L0T0,ILVBL,3.8,632,['Endoplasmic reticulum membrane; Single-pass membrane protein'],0
A1L167,UBE2QL1,3.1,161,['Nucleus'],0
A1L190,SYCE3,65.9,88,"['Nucleus', 'Chromosome']",39
A1L390,PLEKHG3,68.3,1219,"['Cytoplasm, cytoskeleton']",56
A1L3X0,ELOVL7,9.3,281,['Endoplasmic reticulum membrane; Multi- pass membrane protein'],11
A1L4H1,SSC5D,64.1,1573,"['Secreted', 'Cytoplasm']",16
A1L4K1,FSD2,26.6,749,"['Nucleus', 'Sarcoplasmic reticulum', 'Cytoplasm, perinuclear region']",83
A1X283,SH3PXD2B,60.0,911,"['Cytoplasm', 'Cell projection, podosome']",26
A1XBS5,CIBAR1,24.2,289,"['Cytoplasm', 'Cytoplasm, cytoskeleton, microtubule organizing center, centrosome, centriole', 'Cytoplasm, cytoskeleton, cilium basal body', 'Cell projection, cilium', 'Nucleus', 'Mitochondrion inner membrane; Peripheral membrane protein; Matrix side']",0
A1Z1Q3,MACROD2,47.1,425,['Nucleus'],3
A2A288,ZC3H12D,46.7,527,"['Cytoplasm, P-body']",1
A2A2Y4,FRMD3,25.8,597,['Membrane; Single-pass membrane protein'],16
A2IDD5,CCDC78,61.2,438,"['Cytoplasm, cytoskeleton, microtubule organizing center, centrosome, centriole', 'Cytoplasm, perinuclear region', 'Cell membrane, sarcolemma', 'Sarcoplasmic reticulum']",5
A2PYH4,HFM1,40.2,1435,None,3
A2RRP1,NBAS,10.6,2371,"['Cytoplasm', 'Endoplasmic reticulum', 'Endoplasmic reticulum membrane; Peripheral membrane protein']",51
A2RTX5,TARS3,7.1,802,"['Cytoplasm', 'Nucleus']",32
A2RU14,TMEM218,46.1,115,"['Membrane; Multi-pass membrane protein', 'Cell projection, cilium']",45
A2RU30,TESPA1,89.1,521,"['Cytoplasm', 'Endoplasmic reticulum membrane']",10
A2RU49,HYKK,0.0,373,['Cytoplasm'],6
A2RUB1,MEIOC,82.5,952,"['Cytoplasm', 'Nucleus']",0
A2RUB6,CCDC66,84.2,948,"['Cytoplasm, cytoskeleton, microtubule organizing center, centrosome', 'Cytoplasm, cytoskeleton, microtubule organizing center, centrosome, centriolar satellite', 'Cell projection, cilium', 'Cytoplasm, cytoskeleton, cilium basal body', 'Photoreceptor inner segment', 'Cell projection, cilium, photoreceptor outer segment']",20
A2RUC4,TYW5,4.4,315,None,3
A2RUH7,MYBPHL,14.4,354,"['Cytoplasm, myofibril, sarcomere']",8
A2VDJ0,TMEM131L,54.3,1609,"['Cell membrane; Single-pass type I membrane protein', 'Cytoplasm']",50
A3KMH1,VWA8,5.6,1905,None,212
A4D0S4,LAMB4,16.6,1761,"['Secreted, extracellular space, extracellular matrix, basement membrane']",2
A4D126,CRPPA,9.1,451,"['Cytoplasm, cytosol']",1
A4D161,FAM221A,20.1,298,None,10
A4D1B5,GSAP,2.8,854,"['Golgi apparatus, trans-Golgi network']",2
A4D1E9,GTPBP10,6.2,387,"['Nucleus, nucleolus', 'Chromosome']",81
A4D1P6,WDR91,28.2,747,"['Early endosome membrane; Peripheral membrane protein', 'Late endosome membrane']",18
A4D1T9,PRSS37,8.9,235,"['Cytoplasmic vesicle, secretory vesicle, acrosome', 'Secreted']",6
A4D256,CDC14C,18.3,447,['Endoplasmic reticulum membrane; Single-pass membrane protein'],1
A4D2B0,MBLAC1,11.7,266,"['Cytoplasm, cytosol', 'Nucleus']",12
A4D2B8,PMS2P1,58.2,440,None,0
A4GXA9,EME2,22.7,379,['Nucleus'],0
A5A3E0,POTEF,37.6,1075,"['Cytoplasm, cell cortex']",138
A5D8T8,CLEC18A,10.3,446,"['Secreted', 'Endoplasmic reticulum', 'Golgi apparatus', 'Endosome']",10
A5D8V6,VPS37C,61.7,355,['Late endosome membrane; Peripheral membrane protein'],100
A5D8V7,ODAD3,32.6,595,"['Cytoplasm, cytoskeleton, cilium basal body', 'Cytoplasm, cytoskeleton, microtubule organizing center, centrosome, centriole', 'Cytoplasm, cytoskeleton, cilium axoneme']",0
A5D8W1,CFAP69,16.2,941,"['Cell projection, cilium', 'Cell projection, cilium, flagellum']",0
A5LHX3,PSMB11,29.0,300,"['Cytoplasm', 'Nucleus']",2
A5PKW4,PSD,58.9,1024,"['Cell membrane', 'Cell projection, ruffle membrane', 'Cleavage furrow']",5
A5PLL7,PEDS1,6.7,270,['Endoplasmic reticulum membrane; Multi-pass membrane protein'],0
A5X5Y0,HTR3E,20.2,456,"['Postsynaptic cell membrane; Multi-pass membrane protein', 'Cell membrane; Multi-pass membrane protein']",5
A5YKK6,CNOT1,13.9,2376,"['Cytoplasm, P-body', 'Nucleus']",139
A5YM72,CARNS1,0.0,827,None,2
A6BM72,MEGF11,26.1,1044,"['Cell membrane; Single-pass type I membrane protein', 'Basolateral cell membrane; Single-pass type I membrane protein']",3
A6H8Y1,BDP1,93.9,2624,['Nucleus'],14
A6H8Z2,FAM221B,57.7,402,None,14
A6NC98,CCDC88B,39.9,1476,"['Membrane; Peripheral membrane protein', 'Cytoplasm, cytoskeleton, microtubule organizing center', 'Endoplasmic reticulum', 'Golgi apparatus', 'Cytoplasm']",34
A6NCS4,NKX2-6,83.1,301,['Nucleus'],0
A6ND01,IZUMO1R,15.2,250,"['Cell membrane; Lipid-anchor, GPI-anchor', 'Cell projection, microvillus membrane; Lipid- anchor, GPI-anchor']",1
A6ND36,FAM83G,68.7,823,"['Cytoplasm, cytosol', 'Nucleus']",13
A6NDB9,PALM3,88.1,673,"['Cytoplasm', 'Cell membrane; Lipid-anchor']",7
A6NDE4,RBMY1B,83.3,496,['Nucleus'],1
A6NDG6,PGP,3.7,321,None,9
A6NDV4,TMEM8B,16.9,472,None,0
A6NED2,RCCD1,9.6,376,['Chromosome'],43
A6NEM1,GOLGA6L9,78.9,432,None,166
A6NFA1,TRABD2B,36.8,517,['Cell membrane; Single-pass type I membrane protein'],0
A6NFQ2,TCAF2,0.0,919,None,21
A6NFX1,MFSD2B,11.9,504,['Cell membrane; Multi-pass membrane protein'],0
A6NFY7,SDHAF1,36.5,115,['Mitochondrion matrix'],6
A6NGG8,PCARE,91.5,1288,"['Cell projection, cilium, photoreceptor outer segment', 'Photoreceptor inner segment']",0
A6NGQ2,OOEP,33.6,149,"['Cytoplasm', 'Nucleus']",5
A6NGU5,GGT3P,5.3,568,['Membrane; Single- pass type II membrane protein'],1
A6NHL2,TUBAL3,0.0,446,"['Cytoplasm, cytoskeleton']",31
A6NHR9,SMCHD1,4.5,2005,['Chromosome'],85
A6NHX0,CASTOR2,2.1,329,"['Cytoplasm, cytosol']",0
A6NI15,MSGN1,75.6,193,['Nucleus'],20
A6NI61,MYMK,7.2,221,"['Cell membrane; Multi-pass membrane protein', 'Golgi apparatus membrane; Multi-pass membrane protein']",0
A6NI73,LILRA5,33.1,299,['Cell membrane; Single-pass type I membrane protein'],19
A6NIH7,UNC119B,31.9,251,"['Cell projection, cilium']",21
A6NIX2,WTIP,52.8,430,"['Cell junction, adherens junction', 'Nucleus', 'Cytoplasm, P-body']",10
A6NJ46,NKX6-3,82.3,265,['Nucleus'],0
A6NJ78,METTL15,19.7,407,['Mitochondrion matrix'],178
A6NK06,ACOD1,3.7,481,['Mitochondrion'],0
A6NK58,LIPT2,0.0,231,['Mitochondrion'],0
A6NK89,RASSF10,54.8,507,"['Cytoplasm, cytosol', 'Cytoplasm, cytoskeleton, microtubule organizing center, centrosome', 'Cytoplasm, cytoskeleton, spindle pole']",41
A6NKB5,PCNX2,47.4,2137,['Membrane; Multi-pass membrane protein'],6
A6NKF2,ARID3C,70.4,412,['Nucleus'],7
A6NMZ7,COL6A6,19.6,2263,"['Secreted, extracellular space, extracellular matrix']",1
A6NNB3,IFITM5,53.8,132,['Cell membrane; Multi-pass membrane protein'],4
A6NNM8,TTLL13,45.8,815,None,1
A6NNN8,SLC38A8,6.9,435,"['Membrane; Multi- pass membrane protein', 'Cytoplasm, cell cortex', 'Cell projection, axon']",0
A6NNY8,USP27X,17.4,438,"['Cytoplasm, cytosol', 'Nucleus']",19
A6NNZ2,TUBB8B,2.5,444,"['Cytoplasm, cytoskeleton']",1
A6PVC2,TTLL8,38.8,850,"['Cytoplasm, cytoskeleton', 'Cell projection, cilium', 'Cytoplasm, cytoskeleton, cilium axoneme', 'Cytoplasm, cytoskeleton, flagellum axoneme']",0
A7E2V4,ZSWIM8,42.1,1837,"['Cytoplasm, cytosol']",31
A7E2Y1,MYH7B,32.9,1983,['Membrane; Peripheral membrane protein'],30
A7KAX9,ARHGAP32,79.3,2087,"['Postsynaptic density', 'Cell projection, dendritic spine', 'Cytoplasm, cell cortex', 'Endosome membrane', 'Golgi apparatus membrane', 'Endoplasmic reticulum membrane', 'Membrane']",64
A7MCY6,TBKBP1,67.2,615,None,39
A7MD48,SRRM4,100.0,611,['Nucleus'],29
A7XYQ1,SOBP,88.7,873,None,5
A8CG34,POM121C,100.0,1229,"['Nucleus, nuclear pore complex', 'Nucleus membrane; Single-pass membrane protein', 'Endoplasmic reticulum membrane; Single-pass membrane protein']",51
A8K0Z3,WASHC1,83.9,465,"['Early endosome membrane', 'Recycling endosome membrane', 'Late endosome', 'Cytoplasmic vesicle, autophagosome', 'Cytoplasm, cytoskeleton, microtubule organizing center, centrosome, centriole']",44
A8K2U0,A2ML1,5.8,1454,['Secreted'],80
A8K4G0,CD300LB,40.3,201,['Cell membrane; Single-pass type I membrane protein'],7
A8K7I4,CLCA1,7.0,914,"['Secreted, extracellular space', 'Cell membrane; Peripheral membrane protein; Extracellular side']",2
A8K830,POU2AF3,100.0,251,"['Cytoplasm', 'Nucleus']",0
A8K8P3,SFI1,65.5,1242,"['Cytoplasm, cytoskeleton, microtubule organizing center, centrosome, centriole']",17
A8K8V0,ZNF785,29.9,405,['Nucleus'],72
A8MPY1,GABRR3,26.6,467,"['Postsynaptic cell membrane; Multi-pass membrane protein', 'Cell membrane; Multi-pass membrane protein']",0
A8MQ03,CYSRT1,100.0,144,['Cornified envelope'],0
A8MQ27,NEURL1B,25.8,555,['Cytoplasm'],1
A8MT69,CENPX,21.0,81,"['Nucleus', 'Chromosome, centromere', 'Chromosome, centromere, kinetochore']",20
A8MTA8,CIMIP2B,41.5,275,"['Cytoplasm, cytoskeleton, cilium axoneme']",0
A8MTJ3,GNAT3,4.2,354,['Cytoplasm'],10
A8MTJ6,FOXI3,77.9,420,['Nucleus'],1
A8MTQ0,NOTO,78.9,251,['Nucleus'],21
A8MTZ0,BBIP1,89.1,92,"['Cell projection, cilium', 'Cytoplasm']",7
A8MU46,SMTNL1,75.9,494,"['Cytoplasm, myofibril', 'Cytoplasm, myofibril, sarcomere, I band', 'Cytoplasm, myofibril, sarcomere, M line', 'Nucleus']",4
A8MUP2,CSKMT,10.4,240,['Mitochondrion'],0
A8MV65,VGLL3,94.8,326,['Nucleus'],59
A8MVW5,HEPACAM2,32.3,462,"['Golgi apparatus membrane; Single-pass type I membrane protein', 'Cytoplasm, cytoskeleton, spindle', 'Cytoplasm, cytoskeleton, microtubule organizing center, centrosome', 'Midbody']",28
A8MW92,PHF20L1,69.2,1017,['Nucleus'],44
A8MW95,BECN2,24.1,431,['Cytoplasm'],5
A8MW99,MEI4,22.3,385,['Chromosome'],0
A8MXD5,GRXCR1,34.5,290,"['Cell projection, stereocilium', 'Cell projection, microvillus', 'Cell projection, kinocilium']",8
A8MXV4,NUDT19,1.9,375,['Peroxisome'],68
A8MYU2,KCNU1,20.3,1149,['Cell membrane; Multi-pass membrane protein'],0
A8MZ59,LEUTX,75.3,198,['Nucleus'],25
A8TX70,COL6A5,22.3,2615,"['Secreted, extracellular space, extracellular matrix']",1
A9QM74,KPNA7,10.9,516,['Nucleus'],4
A9UHW6,MIF4GD,4.5,222,"['Cytoplasm', 'Nucleus']",30
A9YTQ3,AHRR,68.8,701,"['Cytoplasm', 'Nucleus']",4
B0I1T2,MYO1G,0.0,1018,"['Cell membrane; Peripheral membrane protein', 'Cell projection, phagocytic cup']",5
B0L3A2,FBXW7-AS1,100.0,85,['Cell membrane; Single-pass membrane protein'],0
B0YJ81,HACD1,24.3,288,None,13
B1AK53,ESPN,43.8,854,"['Cytoplasm, cytoskeleton', 'Cell projection, stereocilium', 'Cell projection, microvillus']",9
B2RTY4,MYO9A,40.6,2548,"['Membrane; Single-pass membrane protein', 'Cytoplasm', 'Synapse', 'Cell projection, growth cone']",52
B2RUY7,VWC2L,30.2,222,"['Secreted', 'Synapse']",28
B2RUZ4,SMIM1,97.4,78,['Cell membrane; Single-pass type II membrane protein'],0
B2RXF5,ZBTB42,50.9,422,"['Cytoplasm', 'Nucleus', 'Nucleus, nucleoplasm']",47
B2RXH2,KDM4E,28.7,506,['Nucleus'],0
B3KU38,IQCJ-SCHIP1,80.1,563,"['Cell projection, axon', 'Cytoplasm']",0
B6A8C7,TARM1,24.0,271,['Cell membrane; Single-pass type I membrane protein'],0
B7U540,KCNJ18,27.3,433,['Cell membrane; Multi-pass membrane protein'],1
B7ZAQ6,GPR89A,6.8,455,['Golgi apparatus membrane; Multi-pass membrane protein'],36
C4AMC7,WASH3P,88.1,463,"['Early endosome', 'Early endosome membrane', 'Recycling endosome membrane', 'Cell projection, lamellipodium', 'Cell projection, filopodium', 'Cytoplasmic vesicle, autophagosome', 'Cytoplasm, cytoskeleton, microtubule organizing center, centrosome, centriole']",2
C9JE40,PATL2,47.5,543,"['Cytoplasm', 'Nucleus']",4
C9JLW8,MCRIP1,87.6,97,"['Nucleus', 'Cytoplasm, Stress granule']",0
C9JR72,KBTBD13,3.5,458,['Cytoplasm'],0
C9JRZ8,AKR1B15,0.0,316,None,3
D3W0D1,KLRF2,29.5,207,['Cell membrane; Single-pass type II membrane protein'],1
D6RGH6,MCIDAS,82.6,385,['Nucleus'],3
E0CX11,STMP1,85.1,47,"['Mitochondrion inner membrane; Single-pass membrane protein', 'Mitochondrion outer membrane; Single-pass membrane protein', 'Mitochondrion intermembrane space']",0
G2XKQ0,SUMO1P1,28.7,101,['Nucleus'],0
H0YL14,TMEM250,46.8,139,"['Membrane; Multi-pass membrane protein', 'Nucleus', 'Cytoplasm']",0
H3BV60,TGFBR3L,57.6,292,['Cell membrane; Single-pass membrane protein'],0
K7EJ46,SMIM22,83.1,83,"['Membrane; Single-pass membrane protein', 'Late endosome']",0
K9M1U5,IFNL4,22.9,179,"['Cytoplasm', 'Secreted']",0
L0R8F8,MIEF1,11.4,70,['Mitochondrion matrix'],0
M0R2J8,DCDC1,24.8,1783,"['Midbody, Midbody ring', 'Midbody', 'Cytoplasm, cytoskeleton, spindle']",4
O00115,DNASE2,6.4,360,['Lysosome'],9
O00116,AGPS,11.9,658,"['Peroxisome membrane', 'Peroxisome']",99
O00124,UBXN8,47.4,270,['Endoplasmic reticulum membrane; Multi-pass membrane protein'],49
O00139,KIF2A,22.1,706,"['Cytoplasm', 'Cytoplasm, cytoskeleton, microtubule organizing center, centrosome', 'Cytoplasm, cytoskeleton, spindle pole', 'Cytoplasm, cytoskeleton, spindle']",91
O00141,SGK1,12.8,431,"['Cytoplasm', 'Nucleus', 'Endoplasmic reticulum membrane', 'Cell membrane', 'Mitochondrion']",46
O00142,TK2,17.4,265,['Mitochondrion'],7
O00144,FZD9,21.0,591,['Cell membrane; Multi-pass membrane protein'],4
O00148,DDX39A,10.3,427,"['Nucleus', 'Cytoplasm']",711
O00151,PDLIM1,55.6,329,"['Cytoplasm', 'Cytoplasm, cytoskeleton', 'Cytoplasm, myofibril, sarcomere, Z line']",40
O00154,ACOT7,16.6,380,None,55
O00155,GPR25,17.7,361,['Cell membrane; Multi-pass membrane protein'],20
O00159,MYO1C,3.2,1063,"['Cytoplasm', 'Nucleus', 'Cytoplasm, cell cortex', 'Cell projection, stereocilium membrane', 'Cytoplasmic vesicle', 'Cell projection, ruffle membrane']",188
O00160,MYO1F,10.3,1098,None,23
O00161,SNAP23,24.2,211,"['Cell membrane; Peripheral membrane protein', 'Cell membrane; Lipid-anchor', 'Synapse, synaptosome']",96
O00165,HAX1,88.9,279,"['Mitochondrion matrix', 'Endoplasmic reticulum', 'Nucleus membrane', 'Cytoplasmic vesicle', 'Cytoplasm, cell cortex', 'Cell membrane; Peripheral membrane protein; Cytoplasmic side', 'Sarcoplasmic reticulum', 'Cytoplasm, P-body']",226
O00167,EYA2,51.7,538,"['Cytoplasm', 'Nucleus']",75
O00168,FXYD1,78.3,92,"['Cell membrane, sarcolemma; Single-pass type I membrane protein', 'Apical cell membrane; Single-pass type I membrane protein', 'Membrane, caveola', 'Cell membrane, sarcolemma, T-tubule']",10
O00170,AIP,7.6,330,['Cytoplasm'],54
O00175,CCL24,49.6,119,['Secreted'],0
O00178,GTPBP1,23.0,669,['Cytoplasm'],63
O00180,KCNK1,20.5,336,"['Cell membrane; Multi-pass membrane protein', 'Recycling endosome', 'Synaptic cell membrane', 'Cytoplasmic vesicle', 'Perikaryon', 'Cell projection, dendrite', 'Cell projection', 'Apical cell membrane; Multi-pass membrane protein']",52
O00182,LGALS9,18.6,355,"['Cytoplasm', 'Nucleus', 'Secreted']",302
O00186,STXBP3,3.9,592,"['Cytoplasm, cytosol', 'Cell membrane']",51
O00187,MASP2,3.8,686,['Secreted'],2
O00189,AP4M1,6.8,453,"['Golgi apparatus, trans-Golgi network membrane; Peripheral membrane protein', 'Early endosome']",29
O00192,ARVCF,52.5,962,"['Cell junction, adherens junction', 'Nucleus', 'Cytoplasm']",24
O00194,RAB27B,12.8,218,"['Membrane; Lipid-anchor', 'Late endosome']",19
O00198,HRK,78.0,91,"['Membrane; Single-pass membrane protein', 'Mitochondrion']",7
O00203,AP3B1,26.0,1094,"['Cytoplasmic vesicle, clathrin-coated vesicle membrane; Peripheral membrane protein; Cytoplasmic side', 'Golgi apparatus']",96
O00204,SULT2B1,19.5,365,"['Cytoplasm, cytosol', 'Microsome', 'Nucleus']",32
O00206,TLR4,9.3,839,"['Cell membrane; Single-pass type I membrane protein', 'Early endosome', 'Cell projection, ruffle']",36
O00212,RHOD,9.5,210,"['Cell membrane; Lipid-anchor; Cytoplasmic side', 'Early endosome']",372
O00213,APBB1,59.6,710,"['Cell membrane', 'Cytoplasm', 'Nucleus', 'Cell projection, growth cone', 'Nucleus speckle']",91
O00214,LGALS8,2.8,317,"['Cytoplasmic vesicle', 'Cytoplasm, cytosol']",91
O00217,NDUFS8,37.1,210,['Mitochondrion inner membrane; Peripheral membrane protein; Matrix side'],146
O00219,HAS3,0.2,553,"['Cell membrane; Multi-pass membrane protein', 'Golgi apparatus membrane; Multi-pass membrane protein', 'Golgi apparatus, trans-Golgi network membrane; Multi-pass membrane protein', 'Early endosome']",5
O00220,TNFRSF10A,55.3,468,"['Cell membrane; Single-pass type I membrane protein', 'Membrane raft', 'Cytoplasm, cytosol']",78
O00221,NFKBIE,54.4,500,['Cytoplasm'],25
O00222,GRM8,10.8,908,['Cell membrane; Multi-pass membrane protein'],1
O00231,PSMD11,6.4,422,"['Nucleus', 'Cytoplasm, cytosol']",152
O00232,PSMD12,9.6,456,None,116
O00233,PSMD9,16.1,223,None,83
O00237,RNF103,26.9,685,['Endoplasmic reticulum membrane; Multi-pass membrane protein'],19
O00238,BMPR1B,19.1,502,['Cell membrane; Single-pass type I membrane protein'],14
O00241,SIRPB1,21.9,398,['Cell membrane; Single-pass type I membrane protein'],5
O00244,ATOX1,0.0,68,None,10
O00253,AGRP,75.8,132,"['Secreted', 'Golgi apparatus lumen']",6
O00254,F2RL2,18.4,374,['Cell membrane; Multi-pass membrane protein'],5
O00255,MEN1,20.7,610,['Nucleus'],76
O00257,CBX4,85.2,560,"['Nucleus', 'Nucleus speckle']",130
O00258,GET1,0.0,174,['Endoplasmic reticulum membrane; Multi-pass membrane protein'],0
O00264,PGRMC1,34.4,195,"['Microsome membrane; Single-pass membrane protein', 'Smooth endoplasmic reticulum membrane; Single-pass membrane protein', 'Mitochondrion outer membrane; Single-pass membrane protein; Extracellular side', 'Secreted']",158
O00267,SUPT5H,42.4,1087,['Nucleus'],199
O00268,TAF4,77.7,1085,['Nucleus'],68
O00270,GPR31,5.6,319,['Cell membrane; Multi-pass membrane protein'],0
O00273,DFFA,29.3,331,['Cytoplasm'],37
O00287,RFXAP,89.0,272,['Nucleus'],13
O00291,HIP1,27.7,1037,"['Cytoplasm', 'Nucleus', 'Endomembrane system', 'Cytoplasmic vesicle, clathrin-coated vesicle membrane']",47
O00292,LEFTY2,9.0,366,['Secreted'],2
O00294,TULP1,46.3,542,"['Cytoplasm', 'Cell membrane; Peripheral membrane protein; Cytoplasmic side', 'Secreted', 'Synapse']",3
O00299,CLIC1,0.0,241,"['Nucleus', 'Nucleus membrane; Single-pass membrane protein', 'Cytoplasm', 'Cell membrane; Single-pass membrane protein', 'Endoplasmic reticulum']",63
O00300,TNFRSF11B,8.0,401,['Secreted'],3
O00303,EIF3F,44.0,357,['Cytoplasm'],126
O00305,CACNB4,43.3,520,None,8
O00308,WWP2,20.1,870,['Nucleus'],490
O00311,CDC7,40.8,574,['Nucleus'],43
O00322,UPK1A,2.7,258,['Membrane; Multi-pass membrane protein'],93
O00327,BMAL1,43.3,626,"['Nucleus', 'Cytoplasm', 'Nucleus, PML body']",72
O00329,PIK3CD,3.0,1044,['Cytoplasm'],7
O00330,PDHX,31.7,501,['Mitochondrion matrix'],55
O00337,SLC28A1,19.0,649,"['Cell membrane; Multi-pass membrane protein', 'Apical cell membrane; Multi-pass membrane protein']",0
O00338,SULT1C2,3.7,296,"['Cytoplasm', 'Lysosome']",9
O00339,MATN2,18.5,956,['Secreted'],39
O00341,SLC1A7,20.7,560,"['Photoreceptor inner segment membrane; Multi-pass membrane protein', 'Synaptic cell membrane; Multi-pass membrane protein']",1
O00358,FOXE1,69.4,373,['Nucleus'],42
O00370,FOXE1,0.0,1275,None,0
O00391,QSOX1,31.2,747,None,32
O00399,DCTN6,22.1,190,"['Cytoplasm, cytoskeleton', 'Chromosome, centromere, kinetochore']",36
O00400,SLC33A1,12.4,549,['Endoplasmic reticulum membrane; Multi-pass membrane protein'],84
O00401,WASL,60.0,505,"['Cytoplasm, cytoskeleton', 'Nucleus', 'Cytoplasm']",57
O00408,PDE2A,10.7,941,None,77
O00409,FOXN3,79.6,490,['Nucleus'],27
O00410,IPO5,0.0,1097,"['Cytoplasm', 'Nucleus', 'Nucleus, nucleolus']",147
O00411,POLRMT,13.5,1230,['Mitochondrion'],118
O00418,EEF2K,27.3,725,None,76
O00421,CCRL2,18.9,344,['Cell membrane; Multi-pass membrane protein'],2
O00422,SAP18,19.0,153,"['Nucleus', 'Cytoplasm', 'Nucleus speckle']",154
O00423,EML1,18.7,815,"['Cytoplasm', 'Cytoplasm, perinuclear region', 'Cytoplasm, cytoskeleton']",17
O00425,IGF2BP3,16.9,579,"['Nucleus', 'Cytoplasm', 'Cytoplasm, P-body', 'Cytoplasm, Stress granule']",183
O00429,DNM1L,16.6,736,"['Cytoplasm, cytosol', 'Golgi apparatus', 'Endomembrane system; Peripheral membrane protein', 'Mitochondrion outer membrane; Peripheral membrane protein', 'Peroxisome', 'Membrane, clathrin-coated pit', 'Cytoplasmic vesicle, secretory vesicle, synaptic vesicle membrane']",158
O00442,RTCA,0.0,366,"['Nucleus, nucleoplasm']",45
O00443,PIK3C2A,24.5,1686,"['Cell membrane', 'Cytoplasmic vesicle, clathrin-coated vesicle', 'Nucleus', 'Cytoplasm', 'Golgi apparatus, trans-Golgi network']",87
O00444,PLK4,40.9,970,"['Cytoplasm, cytoskeleton, microtubule organizing center, centrosome, centriole', 'Nucleus, nucleolus', 'Cleavage furrow', 'Cytoplasm, cytoskeleton, microtubule organizing center, centrosome']",58
O00445,SYT5,20.7,386,"['Cytoplasmic vesicle, secretory vesicle, synaptic vesicle membrane; Single-pass membrane protein', 'Recycling endosome membrane; Single-pass membrane protein']",6
O00451,GFRA2,30.4,464,"['Cell membrane; Lipid-anchor, GPI-anchor']",2
O00453,LST1,100.0,97,"['Membrane; Single-pass membrane protein', 'Golgi apparatus membrane; Single-pass membrane protein', 'Endomembrane system; Single-pass membrane protein']",3
O00459,PIK3R2,10.6,728,None,88
O00461,GOLIM4,82.9,696,"['Golgi apparatus, Golgi stack membrane; Single- pass type II membrane protein', 'Endosome membrane; Single-pass type II membrane protein', 'Membrane; Lipid-anchor']",51
O00462,MANBA,2.0,879,['Lysosome'],39
O00463,TRAF5,21.9,557,"['Cytoplasm', 'Cytoplasm, cytosol']",60
O00468,AGRN,17.2,2068,None,134
