,Gene,Alphafold IDR Content,Length,Localization,MultiUniReD Protein Counts,HIPPIE Protein Counts
O94817,ATG12,37.9,140,"['Cytoplasm', 'Preautophagosomal structure membrane; Peripheral membrane protein']",268,103
O94874,UFL1,17.4,794,"['Endoplasmic reticulum membrane', 'Cytoplasm, cytosol', 'Nucleus', 'Chromosome']",99,963
O94967,WDR47,30.6,919,"['Cytoplasm, cytoskeleton']",0,31
O95140,MFN2,12.0,757,['Mitochondrion outer membrane; Multi-pass membrane protein'],454,125
O95166,GABARAP,0.0,117,"['Cytoplasmic vesicle, autophagosome membrane', 'Endomembrane system', 'Cytoplasm, cytoskeleton', 'Golgi apparatus membrane', 'Cytoplasmic vesicle']",226,484
O95210,STBD1,72.3,358,"['Preautophagosomal structure membrane; Single-pass type III membrane protein', 'Endoplasmic reticulum membrane; Single-pass type III membrane protein', 'Cell membrane, sarcolemma, T-tubule']",37,105
O95278,EPM2A,0.0,331,['Cytoplasm'],22,48
O95295,SNAPIN,77.9,136,"['Membrane; Peripheral membrane protein; Cytoplasmic side', 'Cytoplasm, cytosol', 'Cytoplasm, perinuclear region', 'Golgi apparatus membrane', 'Lysosome membrane', 'Cytoplasmic vesicle, secretory vesicle, synaptic vesicle membrane']",144,151
O95352,ATG7,6.0,703,"['Cytoplasm', 'Preautophagosomal structure']",498,157
O95405,ZFYVE9,55.4,1425,"['Cytoplasm', 'Early endosome membrane']",14,81
O95721,SNAP29,38.4,258,"['Cytoplasm', 'Golgi apparatus membrane; Peripheral membrane protein', 'Cytoplasmic vesicle, autophagosome membrane; Peripheral membrane protein', 'Cell projection, cilium membrane; Peripheral membrane protein']",68,205
O95997,PTTG1,100.0,202,"['Cytoplasm', 'Nucleus']",113,40
P00441,SOD1,0.0,154,"['Cytoplasm', 'Nucleus']",122,384
P00519,ABL1,49.9,1130,"['Cytoplasm, cytoskeleton', 'Nucleus', 'Mitochondrion']",754,331
P00533,EGFR,22.2,1210,"['Cell membrane; Single-pass type I membrane protein', 'Endoplasmic reticulum membrane; Single-pass type I membrane protein', 'Golgi apparatus membrane; Single-pass type I membrane protein', 'Nucleus membrane; Single-pass type I membrane protein', 'Endosome', 'Endosome membrane', 'Nucleus']",260,1369
P00736,C1R,3.5,705,['Secreted'],23,14
P01100,FOS,93.4,380,"['Nucleus', 'Endoplasmic reticulum', 'Cytoplasm, cytosol']",156,235
P01106,MYC,84.3,454,"['Nucleus, nucleoplasm', 'Nucleus, nucleolus', 'Nucleus', 'Cytoplasm']",223,2101
P01112,HRAS,9.5,189,"['Cell membrane; Lipid-anchor; Cytoplasmic side', 'Golgi apparatus', 'Golgi apparatus membrane; Lipid-anchor']",156,591
P01160,NPPA,100.0,151,"['[Long-acting natriuretic peptide]: Secreted', '[Vessel dilator]: Secreted', '[Kaliuretic peptide]: Secreted', '[Urodilatin]: Secreted', '[Atrial natriuretic peptide]: Secreted', 'Perikaryon', 'Cell projection', '[Atriopeptin-3]: Secreted']",52,53
P01730,CD4,21.4,458,['Cell membrane; Single-pass type I membrane protein'],53,93
P02511,CRYAB,34.9,175,"['Cytoplasm', 'Nucleus', 'Secreted', 'Lysosome']",132,142
P02545,LMNA,40.2,664,"['Nucleus lamina', 'Nucleus envelope', 'Nucleus, nucleoplasm', 'Nucleus matrix']",109,967
P02686,MBP,100.0,304,['Myelin membrane; Peripheral membrane protein; Cytoplasmic side'],34,52
P02788,LTF,2.5,710,None,63,115
P03372,ESR1,47.1,595,"['Nucleus', 'Golgi apparatus', 'Cell membrane']",207,2332
P04049,RAF1,36.9,648,"['Cytoplasm', 'Cell membrane', 'Mitochondrion', 'Nucleus']",135,296
P04062,GBA1,7.6,536,['Lysosome membrane; Peripheral membrane protein; Lumenal side'],61,0
P04150,NR3C1,59.5,777,None,129,899
P04156,PRNP,54.5,253,"['Cell membrane; Lipid-anchor, GPI-anchor', 'Golgi apparatus']",157,0
P04234,CD3D,51.5,171,['Cell membrane; Single-pass type I membrane protein'],22,77
P04637,TP53,48.3,393,"['Cytoplasm', 'Nucleus', 'Nucleus, PML body', 'Endoplasmic reticulum', 'Mitochondrion matrix', 'Cytoplasm, cytoskeleton, microtubule organizing center, centrosome']",1299,1772
P04818,TYMS,8.3,313,"['Nucleus', 'Cytoplasm', 'Mitochondrion', 'Mitochondrion matrix', 'Mitochondrion inner membrane']",91,72
P05109,S100A8,3.2,93,"['Secreted', 'Cytoplasm', 'Cytoplasm, cytoskeleton', 'Cell membrane; Peripheral membrane protein']",535,167
P05121,SERPINE1,5.7,402,['Secreted'],49,34
P05198,EIF2S1,7.9,315,"['Cytoplasm, Stress granule', 'Cytoplasm, cytosol']",430,164
P05455,SSB,22.8,408,['Nucleus'],87,218
P06132,UROD,1.1,367,['Cytoplasm'],0,23
P06702,S100A9,17.5,114,"['Secreted', 'Cytoplasm', 'Cytoplasm, cytoskeleton', 'Cell membrane; Peripheral membrane protein']",643,266
P07339,CTSD,7.8,412,"['Lysosome', 'Melanosome', 'Secreted, extracellular space']",529,103
P07766,CD3E,47.3,207,['Cell membrane; Single-pass type I membrane protein'],37,57
P07900,HSP90AA1,14.3,732,"['Nucleus', 'Cytoplasm', 'Melanosome', 'Cell membrane', 'Mitochondrion']",766,983
P07911,UMOD,10.2,640,"['Apical cell membrane; Lipid-anchor, GPI-anchor', 'Basolateral cell membrane; Lipid-anchor, GPI-anchor', 'Cell projection, cilium membrane', '[Uromodulin, secreted form]: Secreted']",152,8
P07948,LYN,12.5,512,"['Cell membrane', 'Nucleus', 'Cytoplasm', 'Cytoplasm, perinuclear region', 'Golgi apparatus', 'Membrane; Lipid- anchor']",575,631
P08047,SP1,80.0,785,"['Nucleus', 'Cytoplasm']",187,292
P08476,INHBA,22.3,426,['Secreted'],602,17
P09132,SRP19,21.5,144,"['Cytoplasm', 'Nucleus, nucleolus', 'Nucleus, nucleoplasm']",1,49
P09429,HMGB1,33.0,215,"['Nucleus', 'Chromosome', 'Cytoplasm', 'Secreted', 'Cell membrane; Peripheral membrane protein; Extracellular side', 'Endosome', 'Endoplasmic reticulum-Golgi intermediate compartment', 'Endoplasmic reticulum']",949,357
P09601,HMOX1,24.7,288,['Endoplasmic reticulum membrane; Single-pass type IV membrane protein; Cytoplasmic side'],727,100
P09651,HNRNPA1,51.1,372,"['Nucleus', 'Cytoplasm', 'Cytoplasm', 'Nucleus']",123,715
P09693,CD3G,59.3,182,['Cell membrane; Single-pass type I membrane protein'],40,18
P0DMM9,SULT1A3,3.1,295,['Cytoplasm'],12,0
P0DN86,CGB3,44.2,165,['Secreted'],37,0
P0DP23,CALM1,0.0,149,"['Cytoplasm, cytoskeleton, spindle', 'Cytoplasm, cytoskeleton, spindle pole', 'Cytoplasm, cytoskeleton, microtubule organizing center, centrosome', 'Cell projection, cilium, flagellum']",634,0
P10163,PRB4,100.0,310,['Secreted'],11,3
P10253,GAA,8.4,952,"['Lysosome', 'Lysosome membrane']",71,107
P10275,AR,62.0,920,"['Nucleus', 'Cytoplasm']",185,822
P10415,BCL2,27.6,239,"['Mitochondrion outer membrane; Single-pass membrane protein', 'Nucleus membrane; Single-pass membrane protein', 'Endoplasmic reticulum membrane; Single-pass membrane protein', 'Cytoplasm']",1078,135
P10451,SPP1,100.0,314,['Secreted'],162,99
P10909,CLU,14.5,449,"['Nucleus', 'Cytoplasm', 'Mitochondrion membrane; Peripheral membrane protein; Cytoplasmic side', 'Cytoplasm, cytosol', 'Microsome', 'Endoplasmic reticulum', 'Mitochondrion', 'Mitochondrion membrane', 'Cytoplasm, perinuclear region', 'Cytoplasmic vesicle, secretory vesicle, chromaffin granule']",683,249
P10912,GHR,67.4,638,"['Cell membrane; Single-pass type I membrane protein', '[Growth hormone-binding protein]: Secreted']",19,44
P11142,HSPA8,5.4,646,"['Cytoplasm', 'Melanosome', 'Nucleus, nucleolus', 'Cell membrane', 'Lysosome membrane; Peripheral membrane protein; Cytoplasmic side']",455,1229
P11171,EPB41,54.5,864,"['Cytoplasm, cytoskeleton', 'Cytoplasm, cell cortex', 'Nucleus']",59,0
P11233,RALA,12.6,206,"['Cell membrane; Lipid-anchor; Cytoplasmic side', 'Cleavage furrow', 'Midbody, Midbody ring', 'Mitochondrion']",81,101
P11309,PIM1,10.9,313,None,107,56
P11387,TOP1,26.9,765,"['Nucleus, nucleolus', 'Nucleus, nucleoplasm']",85,284
P11473,VDR,18.7,427,"['Nucleus', 'Cytoplasm']",142,123
P12109,COL6A1,36.3,1028,"['Secreted, extracellular space, extracellular matrix']",295,88
P12272,PTHLH,90.4,177,"['Cytoplasm', 'Nucleus', 'Secreted']",74,5
P12931,SRC,14.9,536,"['Cell membrane; Lipid-anchor', 'Mitochondrion inner membrane', 'Nucleus', 'Cytoplasm, cytoskeleton', 'Cytoplasm, perinuclear region', 'Cell junction, focal adhesion']",997,576
P13473,LAMP2,21.5,410,"['Lysosome membrane; Single-pass type I membrane protein', 'Endosome membrane; Single-pass type I membrane protein', 'Cell membrane; Single-pass type I membrane protein', 'Cytoplasmic vesicle, autophagosome membrane']",409,534
P13569,CFTR,17.1,1480,"['Apical cell membrane; Multi-pass membrane protein', 'Early endosome membrane; Multi-pass membrane protein', 'Cell membrane; Multi-pass membrane protein', 'Recycling endosome membrane; Multi-pass membrane protein', 'Endoplasmic reticulum membrane; Multi-pass membrane protein', 'Nucleus']",105,987
P14061,HSD17B1,13.4,328,['Cytoplasm'],46,17
P14416,DRD2,38.8,443,"['Cell membrane; Multi-pass membrane protein', 'Golgi apparatus membrane; Multi-pass membrane protein']",499,98
P14635,CCNB1,35.1,433,"['Cytoplasm', 'Nucleus', 'Cytoplasm, cytoskeleton, microtubule organizing center, centrosome']",129,165
P14859,POU2F1,83.0,743,['Nucleus'],100,139
P15309,ACP3,9.8,386,None,29,133
P15848,ARSB,8.8,533,"['Lysosome', 'Cell surface']",84,33
P16144,ITGB4,21.5,1822,"['Cell membrane; Single-pass type I membrane protein', 'Cell membrane; Lipid-anchor', 'Cell junction, hemidesmosome']",518,97
P16442,ABO,22.0,354,"['Golgi apparatus, Golgi stack membrane; Single- pass type II membrane protein', 'Secreted']",34,2
P16615,ATP2A2,2.2,1042,"['Endoplasmic reticulum membrane; Multi-pass membrane protein', 'Sarcoplasmic reticulum membrane; Multi-pass membrane protein']",67,270
P16860,NPPB,100.0,134,"['[NT-proBNP]: Secreted', '[proBNP(3-108)]: Secreted', '[Brain natriuretic peptide 32]: Secreted', '[BNP(3-32)]: Secreted']",52,24
P17096,HMGA1,100.0,107,"['Nucleus', 'Chromosome']",17,216
P17861,XBP1,83.9,261,"['Endoplasmic reticulum', '[X-box-binding protein 1, cytoplasmic form]: Cytoplasm', 'Nucleus']",552,43
P19429,TNNI3,72.4,210,None,19,22
P19484,TFEB,81.3,476,"['Nucleus', 'Cytoplasm, cytosol', 'Lysosome membrane', 'Nucleus']",293,34
P19793,RXRA,33.1,462,"['Nucleus', 'Cytoplasm', 'Mitochondrion']",115,138
P20073,ANXA7,36.3,488,None,365,152
P20810,CAST,100.0,708,None,5,66
P20963,CD247,100.0,164,['Cell membrane; Single-pass type I membrane protein'],60,40
P21815,IBSP,100.0,317,['Secreted'],27,11
P22531,SPRR2E,100.0,72,['Cytoplasm'],0,20
P23025,XPA,48.4,273,['Nucleus'],44,72
P24071,FCAR,26.8,287,None,8,10
P24522,GADD45A,6.1,165,['Nucleus'],115,94
P25963,NFKBIA,33.1,317,"['Cytoplasm', 'Nucleus']",118,191
P27361,MAPK3,8.4,379,"['Cytoplasm', 'Nucleus', 'Membrane, caveola', 'Cell junction, focal adhesion']",1023,279
P27694,RPA1,13.3,616,"['Nucleus', 'Nucleus, PML body']",51,567
P27695,APEX1,15.1,318,"['Nucleus', 'Nucleus, nucleolus', 'Nucleus speckle', 'Endoplasmic reticulum', 'Cytoplasm', '[DNA repair nuclease/redox regulator APEX1, mitochondrial]: Mitochondrion']",91,1173
P27797,CALR,15.8,417,"['Endoplasmic reticulum lumen', 'Cytoplasm, cytosol', 'Secreted, extracellular space, extracellular matrix', 'Cell surface', 'Sarcoplasmic reticulum lumen', 'Cytoplasmic vesicle, secretory vesicle, Cortical granule', 'Cytolytic granule']",155,305
P28328,PEX2,22.0,305,['Peroxisome membrane; Multi-pass membrane protein'],95,14
P30273,FCER1G,77.9,86,['Cell membrane; Single-pass type I membrane protein'],58,79
P30291,WEE1,52.8,646,['Nucleus'],89,63
P31751,AKT2,10.4,481,"['Cytoplasm', 'Nucleus', 'Cell membrane; Peripheral membrane protein', 'Early endosome']",127,133
P32004,L1CAM,13.7,1257,"['Cell membrane; Single-pass type I membrane protein', 'Cell projection, growth cone', 'Cell projection, axon', 'Cell projection, dendrite']",100,43
P35611,ADD1,58.3,737,"['Cytoplasm, cytoskeleton', 'Cell membrane; Peripheral membrane protein; Cytoplasmic side']",43,109
P35612,ADD2,57.0,726,"['Cytoplasm, cytoskeleton', 'Cell membrane; Peripheral membrane protein; Cytoplasmic side']",2,59
P35638,DDIT3,83.4,169,"['Cytoplasm', 'Nucleus']",127,116
P35869,AHR,61.0,848,"['Cytoplasm', 'Nucleus']",81,110
P37231,PPARG,26.7,505,"['Nucleus', 'Cytoplasm']",179,260
P37840,SNCA,86.4,140,"['Cytoplasm', 'Membrane', 'Nucleus', 'Synapse', 'Secreted', 'Cell projection, axon']",154,220
P38398,BRCA1,82.3,1863,"['Nucleus', 'Chromosome', 'Cytoplasm']",73,1072
P38936,CDKN1A,84.1,164,"['Cytoplasm', 'Nucleus']",183,310
P40337,VHL,28.6,213,None,85,520
P42338,PIK3CB,4.6,1070,"['Cytoplasm', 'Nucleus']",570,73
P42345,MTOR,8.3,2549,"['Lysosome membrane; Peripheral membrane protein; Cytoplasmic side', 'Endoplasmic reticulum membrane; Peripheral membrane protein; Cytoplasmic side', 'Golgi apparatus membrane; Peripheral membrane protein; Cytoplasmic side', 'Mitochondrion outer membrane; Peripheral membrane protein; Cytoplasmic side', 'Cytoplasm', 'Nucleus', 'Nucleus, PML body', 'Microsome membrane', 'Cytoplasmic vesicle, phagosome']",1180,245
P42704,LRPPRC,8.2,1394,"['Mitochondrion', 'Nucleus', 'Nucleus, nucleoplasm', 'Nucleus inner membrane', 'Nucleus outer membrane']",245,563
P43235,CTSK,6.7,329,"['Lysosome', 'Secreted', 'Apical cell membrane; Peripheral membrane protein; Extracellular side']",323,11
P43351,RAD52,65.1,418,['Nucleus'],4,61
P46527,CDKN1B,87.4,198,"['Nucleus', 'Cytoplasm', 'Endosome']",150,100
P46937,YAP1,85.7,504,"['Cytoplasm', 'Nucleus', 'Cell junction']",186,683
P48426,PIP4K2A,15.5,406,"['Cell membrane', 'Nucleus', 'Lysosome', 'Cytoplasm', 'Photoreceptor inner segment', 'Cell projection, cilium, photoreceptor outer segment']",239,169
P48539,PCP4,96.8,62,None,9,45
P49354,FNTA,17.2,379,None,3,60
P49754,VPS41,8.8,854,"['Endosome membrane; Peripheral membrane protein', 'Late endosome membrane; Peripheral membrane protein', 'Early endosome membrane; Peripheral membrane protein', 'Lysosome membrane; Peripheral membrane protein', 'Golgi apparatus, trans- Golgi network', 'Cytoplasmic vesicle, clathrin-coated vesicle', 'Cytoplasm, cytosol']",52,42
P49768,PSEN1,29.3,467,"['Endoplasmic reticulum', 'Endoplasmic reticulum membrane; Multi-pass membrane protein', 'Golgi apparatus membrane; Multi-pass membrane protein', 'Cytoplasmic granule', 'Cell membrane; Multi-pass membrane protein', 'Cell projection, growth cone', 'Early endosome', 'Early endosome membrane; Multi-pass membrane protein', 'Cell projection, neuron projection', 'Cell projection, axon', 'Synapse']",341,212
P49795,RGS19,27.6,217,['Membrane; Lipid-anchor'],23,29
P49841,GSK3B,14.8,420,"['Cytoplasm', 'Nucleus', 'Cell membrane']",232,625
P49913,CAMP,41.8,170,"['Secreted', 'Vesicle']",76,3
P49918,CDKN1C,83.9,316,['Nucleus'],94,33
P50440,GATM,13.9,423,None,1,11
P50542,PEX5,40.5,639,"['Cytoplasm, cytosol', 'Peroxisome matrix']",132,142
P50570,DNM2,17.4,870,"['Cytoplasm, cytoskeleton', 'Cytoplasmic vesicle, clathrin-coated vesicle', 'Cell projection, uropodium', 'Endosome', 'Cytoplasm, cytoskeleton, microtubule organizing center, centrosome', 'Cytoplasm, cytoskeleton, microtubule organizing center, centrosome, centriole', 'Recycling endosome', 'Cell projection, phagocytic cup', 'Cytoplasmic vesicle, phagosome membrane; Peripheral membrane protein', 'Cell projection, podosome', 'Cytoplasm', 'Cell junction', 'Postsynaptic density', 'Synapse, synaptosome', 'Midbody', 'Membrane, clathrin-coated pit']",556,224
P51149,RAB7A,11.1,207,"['Cytoplasmic vesicle, phagosome membrane; Peripheral membrane protein; Cytoplasmic side', 'Late endosome membrane; Peripheral membrane protein; Cytoplasmic side', 'Lysosome membrane; Peripheral membrane protein; Cytoplasmic side', 'Melanosome membrane; Peripheral membrane protein; Cytoplasmic side', 'Cytoplasmic vesicle, autophagosome membrane; Peripheral membrane protein; Cytoplasmic side', 'Lipid droplet', 'Endosome membrane; Peripheral membrane protein', 'Cytoplasmic vesicle', 'Mitochondrion membrane; Peripheral membrane protein']",336,349
P51397,DAP,100.0,102,None,30,7
P51608,MECP2,85.4,486,['Nucleus'],113,223
P51671,CCL11,35.1,97,['Secreted'],64,8
P51946,CCNH,10.5,323,['Nucleus'],41,80
P52179,MYOM1,25.0,1685,"['Cytoplasm, myofibril, sarcomere, M line']",8,20
P52298,NCBP2,9.0,156,"['Nucleus', 'Cytoplasm']",12,87
P53350,PLK1,12.8,603,"['Nucleus', 'Chromosome, centromere, kinetochore', 'Cytoplasm, cytoskeleton, microtubule organizing center, centrosome', 'Cytoplasm, cytoskeleton, spindle', 'Midbody']",146,393
P53365,ARFIP2,29.6,341,"['Golgi apparatus', 'Golgi apparatus, trans-Golgi network membrane']",70,89
P54252,ATXN3,42.7,361,"['Nucleus matrix', 'Nucleus', 'Lysosome membrane; Peripheral membrane protein']",32,402
P54257,HAP1,72.6,671,"['Cytoplasm', 'Cell projection, axon', 'Presynapse', 'Cytoplasm, cytoskeleton', 'Cell projection, dendritic spine', 'Cell projection, dendrite', 'Lysosome', 'Endoplasmic reticulum', 'Mitochondrion', 'Nucleus', 'Cytoplasmic vesicle, autophagosome', 'Early endosome', 'Cell projection, growth cone', 'Cell projection, neuron projection', 'Cytoplasmic vesicle, secretory vesicle, synaptic vesicle']",156,109
P54646,PRKAA2,25.5,552,"['Cytoplasm', 'Nucleus']",422,180
P54725,RAD23A,44.9,363,['Nucleus'],39,197
P54802,NAGLU,2.4,743,['Lysosome'],237,62
P55061,TMBIM6,5.5,237,['Endoplasmic reticulum membrane; Multi-pass membrane protein'],293,110
P55072,VCP,9.6,806,"['Cytoplasm, cytosol', 'Endoplasmic reticulum', 'Nucleus', 'Cytoplasm, Stress granule']",671,1003
P56962,STX17,48.3,302,"['Endoplasmic reticulum membrane; Multi-pass membrane protein', 'Smooth endoplasmic reticulum membrane; Multi-pass membrane protein', 'Endoplasmic reticulum-Golgi intermediate compartment membrane; Multi-pass membrane protein', 'Cytoplasmic vesicle, autophagosome membrane; Multi-pass membrane protein', 'Cytoplasmic vesicle, COPII-coated vesicle membrane; Multi-pass membrane protein', 'Cytoplasm, cytosol', 'Mitochondrion membrane; Multi-pass membrane protein']",171,248
P59074,CHMP4BP1,61.4,171,None,0,0
P60520,GABARAPL2,0.0,117,"['Cytoplasmic vesicle, autophagosome', 'Endoplasmic reticulum membrane', 'Golgi apparatus']",254,560
P60896,SEM1,100.0,70,['Nucleus'],5,0
P61006,RAB8A,14.5,207,"['Cell membrane; Lipid-anchor; Cytoplasmic side', 'Golgi apparatus', 'Endosome membrane', 'Recycling endosome membrane', 'Cell projection, cilium', 'Cytoplasmic vesicle, phagosome', 'Cytoplasmic vesicle, phagosome membrane; Lipid-anchor; Cytoplasmic side', 'Cytoplasm, cytoskeleton, microtubule organizing center, centrosome, centriole', 'Cytoplasm, cytoskeleton, cilium basal body', 'Midbody', 'Cytoplasm, cytoskeleton, cilium axoneme', 'Cytoplasm']",361,179
P61019,RAB2A,9.4,212,"['Endoplasmic reticulum-Golgi intermediate compartment membrane; Lipid-anchor; Cytoplasmic side', 'Melanosome', 'Endoplasmic reticulum membrane; Lipid-anchor; Cytoplasmic side', 'Golgi apparatus membrane; Lipid-anchor; Cytoplasmic side', 'Cytoplasmic vesicle, secretory vesicle, acrosome', 'Cytoplasmic vesicle, autophagosome membrane; Lipid-anchor; Cytoplasmic side']",270,469
P61244,MAX,55.0,160,"['Nucleus', 'Cell projection, dendrite']",10,191
P61960,UFM1,0.0,85,"['Nucleus', 'Cytoplasm']",148,91
P62328,TMSB4X,100.0,44,"['Cytoplasm, cytoskeleton']",63,49
P62495,ETF1,5.9,437,['Cytoplasm'],3,100
P62820,RAB1A,12.2,205,"['Golgi apparatus', 'Endoplasmic reticulum', 'Early endosome', 'Cytoplasm, cytosol', 'Membrane', 'Melanosome']",534,267
P63027,VAMP2,88.8,116,"['Cytoplasmic vesicle, secretory vesicle, synaptic vesicle membrane; Single-pass type IV membrane protein', 'Cell membrane']",65,160
P63098,PPP3R1,5.9,170,"['Cytoplasm, cytosol', 'Cell membrane', 'Cell membrane, sarcolemma', 'Cell membrane; Lipid-anchor']",46,59
P68543,UBXN2A,43.6,259,"['Golgi apparatus', 'Endoplasmic reticulum', 'Perikaryon', 'Cell projection, dendrite', 'Nucleus', 'Cytoplasm']",20,21
P78356,PIP4K2B,16.8,416,"['Endoplasmic reticulum membrane; Peripheral membrane protein', 'Cell membrane; Peripheral membrane protein', 'Nucleus', 'Cytoplasm']",81,67
P78504,JAG1,15.7,1218,"['Membrane; Single-pass type I membrane protein', 'Cell membrane']",101,32
P78539,SRPX,12.5,464,['Cell surface'],41,8
Q00610,CLTC,3.7,1675,"['Cytoplasmic vesicle membrane; Peripheral membrane protein; Cytoplasmic side', 'Membrane, coated pit; Peripheral membrane protein; Cytoplasmic side', 'Melanosome', 'Cytoplasm, cytoskeleton, spindle']",357,492
Q00987,MDM2,65.4,491,"['Nucleus, nucleoplasm', 'Cytoplasm', 'Nucleus, nucleolus', 'Nucleus']",83,856
Q02556,IRF8,28.2,426,"['Nucleus', 'Cytoplasm']",425,52
Q04206,RELA,48.1,551,"['Nucleus', 'Cytoplasm']",194,418
Q04656,ATP7A,16.0,1500,"['Golgi apparatus, trans-Golgi network membrane; Multi-pass membrane protein', 'Cell membrane; Multi-pass membrane protein', 'Melanosome membrane; Multi-pass membrane protein', 'Early endosome membrane; Multi-pass membrane protein', 'Cell projection, axon', 'Cell projection, dendrite', 'Postsynaptic density']",52,82
